method,step,mean_normalized,std_normalized,n_tasks
BMPC,0,0.05969816366154287,0.07785325201424782,27
BMPC,10000,0.10291303272602487,0.0847846253515272,27
BMPC,20000,0.14612790179050686,0.10358036646089246,27
BMPC,30000,0.18934277085498885,0.12916078239820256,27
BMPC,40000,0.23255763991947087,0.1582696397816966,27
BMPC,50000,0.2757725089839529,0.18928604231931437,27
BMPC,60000,0.31898737804843486,0.22140977514680707,27
BMPC,70000,0.3622022471129168,0.25422141337341975,27
BMPC,80000,0.4054171161773989,0.28748551490112983,27
BMPC,90000,0.44863198524188086,0.3210614759072247,27
BMPC,100000,0.4918468543063629,0.35486078554674405,27
BMPC,110000,0.5171395275875351,0.3422014922380076,27
BMPC,120000,0.5424322008687074,0.3312399288074456,27
BMPC,130000,0.5677248741498797,0.3221494444480382,27
BMPC,140000,0.5930175474310521,0.31509202410624937,27
BMPC,150000,0.6183102207122242,0.3102064598423803,27
BMPC,160000,0.6436028939933964,0.30759625611487373,27
BMPC,170000,0.6688955672745687,0.3073193954165717,27
BMPC,180000,0.694188240555741,0.3093821420151831,27
BMPC,190000,0.7194809138369133,0.31373835240845854,27
BMPC,200000,0.7447735871180856,0.32029446252069504,27
DreamerV3,0,0.07050654607711727,0.09849251557003331,24
DreamerV3,10000,0.10553184107036825,0.1098588061731593,23
DreamerV3,20000,0.13828927755318832,0.12706015268781898,23
DreamerV3,30000,0.17104671403600838,0.1491262826399295,23
DreamerV3,40000,0.20380415051882841,0.1742184106592887,23
DreamerV3,50000,0.2365615870016485,0.20120760849675925,23
DreamerV3,60000,0.26931902348446857,0.22942534621748728,23
DreamerV3,70000,0.30207645996728866,0.25846956865893284,23
DreamerV3,80000,0.3348338964501087,0.2880904146689853,23
DreamerV3,90000,0.3675913329329287,0.3181268564444899,23
DreamerV3,100000,0.3641490971803557,0.3436729097616372,26
DreamerV3,110000,0.3729704879419155,0.3433607101575856,26
DreamerV3,120000,0.38179187870347536,0.34340148647909047,26
DreamerV3,130000,0.39061326946503516,0.3437951131304994,26
DreamerV3,140000,0.3994346602265949,0.3445403807524062,26
DreamerV3,150000,0.40825605098815476,0.3456350146988143,26
DreamerV3,160000,0.41707744174971456,0.3470757094106739,26
DreamerV3,170000,0.4258988325112743,0.3488581774879755,26
DreamerV3,180000,0.43472022327283416,0.35097721179269953,26
DreamerV3,190000,0.44354161403439396,0.3534267585449063,26
DreamerV3,200000,0.4523630047959538,0.35619999912068767,26
Ours,10000,0.2544130270207241,0.3275727810611194,27
Ours,20000,0.42628198475686296,0.40661167200651566,27
Ours,30000,0.5013095311121964,0.3947926734255425,27
Ours,40000,0.5704992870104816,0.38226661711721105,27
Ours,50000,0.6896548762052139,0.3315476494936601,27
Ours,60000,0.7669712990200944,0.31396744389671394,27
Ours,70000,0.8388244567500551,0.27886509144650967,27
Ours,80000,0.8688652220098319,0.22992314452095033,27
Ours,90000,0.9195997342211505,0.24601730935960003,23
Ours,100000,0.9887468192531641,0.036877995710543295,20
SAC,0,0.053642811372917626,0.08968510787840808,27
SAC,10000,0.07461267379046692,0.09787159642188059,27
SAC,20000,0.09558253620801622,0.11384936211060787,27
SAC,30000,0.11655239862556552,0.13487735975928727,27
SAC,40000,0.1375222610431148,0.15896390833802237,27
SAC,50000,0.1584921234606641,0.18491766597159184,27
SAC,60000,0.1794619858782134,0.2120541423280439,27
SAC,70000,0.2004318482957627,0.23997244096854634,27
SAC,80000,0.221401710713312,0.26842872913706844,27
SAC,90000,0.2423715731308613,0.29726854842667083,27
SAC,100000,0.2633414355484106,0.3263902483179871,27
SAC,110000,0.26868485854729346,0.32858694681922873,27
SAC,120000,0.27402828154617637,0.3312836510894442,27
SAC,130000,0.2793717045450592,0.3344682672161695,27
SAC,140000,0.2847151275439421,0.3381270094303115,27
SAC,150000,0.290058550542825,0.342244672236471,27
SAC,160000,0.29540197354170783,0.3468049095362946,27
SAC,170000,0.30074539654059074,0.3517905105584431,27
SAC,180000,0.30608881953947364,0.35718366395417245,27
SAC,190000,0.31143224253835655,0.36296620325968204,27
SAC,200000,0.3167756655372394,0.369119828860541,27
SimbaV2,0,0.05558973800914163,0.08273887145685946,27
SimbaV2,10000,0.11738303394657972,0.09036870583480087,27
SimbaV2,20000,0.17917632988401777,0.10431972426853893,27
SimbaV2,30000,0.2409696258214559,0.12245009792391492,27
SimbaV2,40000,0.3027629217588939,0.1431808919674475,27
SimbaV2,50000,0.36455621769633206,0.16553799835843291,27
SimbaV2,60000,0.42634951363377016,0.18894499122587072,27
SimbaV2,70000,0.4881428095712082,0.21305611995687274,27
SimbaV2,80000,0.5499361055086462,0.23765717015422755,27
SimbaV2,90000,0.6117294014460845,0.26261049204717385,27
SimbaV2,100000,0.6735226973835224,0.28782447823926854,27
SimbaV2,110000,0.6945325683946436,0.2703514125150204,27
SimbaV2,120000,0.7155424394057648,0.25329455705311615,27
SimbaV2,130000,0.736552310416886,0.23674388994292944,27
SimbaV2,140000,0.7575621814280071,0.2208132618902079,27
SimbaV2,150000,0.7785720524391283,0.2056468191744895,27
SimbaV2,160000,0.7995819234502496,0.1914262841286035,27
SimbaV2,170000,0.8205917944613708,0.17837802746608827,27
SimbaV2,180000,0.8416016654724919,0.1667774250874748,27
SimbaV2,190000,0.8626115364836131,0.1569458147375457,27
SimbaV2,200000,0.8836214074947343,0.14923323496179994,27
TDMPC2,0,0.05614665023689026,0.07556471516723876,27
TDMPC2,10000,0.09747777732492005,0.08663864355902684,27
TDMPC2,20000,0.13880890441294985,0.11013433288771467,27
TDMPC2,30000,0.18014003150097968,0.1399284686792772,27
TDMPC2,40000,0.22147115858900948,0.17279314152090824,27
TDMPC2,50000,0.2628022856770393,0.20727289140124777,27
TDMPC2,60000,0.30413341276506906,0.24268028681051526,27
TDMPC2,70000,0.3454645398530989,0.27866194581690923,27
TDMPC2,80000,0.3867956669411287,0.31502115298806505,27
TDMPC2,90000,0.4281267940291585,0.3516408138382479,27
TDMPC2,100000,0.4694579211171883,0.3884472749642511,27
TDMPC2,110000,0.4902551857653304,0.3789064906448194,27
TDMPC2,120000,0.5110524504134726,0.37017300071012377,27
TDMPC2,130000,0.5318497150616147,0.3623051901823192,27
TDMPC2,140000,0.5526469797097568,0.3553605630731978,27
TDMPC2,150000,0.573444244357899,0.3493941718442059,27
TDMPC2,160000,0.5942415090060412,0.3444568527784594,27
TDMPC2,170000,0.6150387736541832,0.34059336181101446,27
TDMPC2,180000,0.6358360383023255,0.337840541335347,27
TDMPC2,190000,0.6566333029504676,0.336225673032469,27
TDMPC2,200000,0.6774305675986098,0.33576517630459773,27
