method,step,mean_normalized,std_normalized,n_tasks
BMPC,0,0.014434048578432616,0.009781682510508732,7
BMPC,10000,0.023079558530851193,0.018019149624513082,7
BMPC,20000,0.03172506848326977,0.026349652452446706,7
BMPC,30000,0.040370578435688344,0.03470626177304054,7
BMPC,40000,0.049016088388106914,0.04307378575041719,7
BMPC,50000,0.05766159834052549,0.051446899053361944,7
BMPC,60000,0.06630710829294408,0.05982325481165939,7
BMPC,70000,0.07495261824536263,0.06820165834519411,7
BMPC,80000,0.08359812819778122,0.07658143754545475,7
BMPC,90000,0.09224363815019979,0.08496218536938734,7
BMPC,100000,0.10088914810261837,0.09334364091718203,7
BMPC,110000,0.13569297723449333,0.12700513941241084,7
BMPC,120000,0.17049680636636827,0.16148868661111632,7
BMPC,130000,0.20530063549824323,0.1963616731908957,7
BMPC,140000,0.2401044646301182,0.23144813203394016,7
BMPC,150000,0.27490829376199316,0.266663813207566,7
BMPC,160000,0.3097121228938681,0.3019635094767685,7
BMPC,170000,0.34451595202574303,0.3373208460284963,7
BMPC,180000,0.37931978115761794,0.3727194194081682,7
BMPC,190000,0.4141236102894929,0.4081485003908146,7
BMPC,200000,0.4489274394213679,0.4436007793808605,7
DreamerV3,0,0.01643375216708316,0.0091201539927102,5
DreamerV3,10000,0.015090465180577457,0.00909014114144834,4
DreamerV3,20000,0.014225190236602537,0.007747112469366676,4
DreamerV3,30000,0.013359915292627617,0.006445222931778917,4
DreamerV3,40000,0.012494640348652698,0.00521537218742711,4
DreamerV3,50000,0.011629365404677777,0.004122544948474773,4
DreamerV3,60000,0.010764090460702858,0.003305557144680565,4
DreamerV3,70000,0.00989881551672794,0.002999016606664565,4
DreamerV3,80000,0.00903354057275302,0.003346274729172454,4
DreamerV3,90000,0.0081682656287781,0.004187728489872971,4
DreamerV3,100000,0.015342277959807547,0.022954329951143916,6
DreamerV3,110000,0.015352798758204798,0.02135693465144089,6
DreamerV3,120000,0.01536331955660205,0.01985700640236488,6
DreamerV3,130000,0.0153738403549993,0.018478295380768017,6
DreamerV3,140000,0.015384361153396552,0.01724989125913479,6
DreamerV3,150000,0.015394881951793803,0.016206009628614515,6
DreamerV3,160000,0.015405402750191054,0.015384258157975228,6
DreamerV3,170000,0.015415923548588307,0.014821629512891546,6
DreamerV3,180000,0.015426444346985558,0.01454821827995846,6
DreamerV3,190000,0.015436965145382807,0.014580303843985103,6
DreamerV3,200000,0.015447485943780058,0.014915914876474905,6
Ours,10000,0.02323167718109574,0.018367631505075324,7
Ours,20000,0.043308319878321636,0.040192706403744,7
Ours,30000,0.05155276193642927,0.0762389809561127,7
Ours,40000,0.18109158824463137,0.20261413775752207,7
Ours,50000,0.39984696299914463,0.30537745911039416,7
Ours,60000,0.5512996577879453,0.3417006156755802,7
Ours,70000,0.7318386881569772,0.2595777253270043,7
Ours,80000,0.836244474891015,0.1679668208875243,7
Ours,90000,1.0342193431493887,0.08816285653575925,3
Ours,100000,1.0,0.0,2
SAC,0,0.015758643562415672,0.012002096576521149,7
SAC,10000,0.0163457334212983,0.012546070328330735,7
SAC,20000,0.016932823280180927,0.013093789965572991,7
SAC,30000,0.017519913139063554,0.013644804402024159,7
SAC,40000,0.01810700299794618,0.014198730056040037,7
SAC,50000,0.018694092856828808,0.014755239061666548,7
SAC,60000,0.01928118271571144,0.015314049786304232,7
SAC,70000,0.019868272574594066,0.015874919164383737,7
SAC,80000,0.020455362433476693,0.016437636467018922,7
