method,step,mean_normalized,std_normalized,n_tasks
BMPC,0,0.07273974448552312,0.0864974931948042,19
BMPC,10000,0.13053336751315478,0.08322772905611185,19
BMPC,20000,0.18832699054078644,0.09108417700475778,19
BMPC,30000,0.2461206135684181,0.10765794712595379,19
BMPC,40000,0.30391423659604977,0.1296478835926734,19
BMPC,50000,0.3617078596236814,0.1547622296385273,19
BMPC,60000,0.4195014826513131,0.18171008664149943,19
BMPC,70000,0.4772951056789448,0.20978607511886566,19
BMPC,80000,0.5350887287065764,0.2385922733498291,19
BMPC,90000,0.5928823517342081,0.2678932293893314,19
BMPC,100000,0.6506759747618398,0.29754281316307135,19
BMPC,110000,0.6726126964294332,0.27783998940024174,19
BMPC,120000,0.6945494180970266,0.2588495536432351,19
BMPC,130000,0.7164861397646201,0.2407401520293641,19
BMPC,140000,0.7384228614322134,0.2237258318643251,19
BMPC,150000,0.7603595830998068,0.20807540112682918,19
BMPC,160000,0.7822963047674002,0.19411902258985617,19
BMPC,170000,0.8042330264349936,0.18224630304847056,19
BMPC,180000,0.826169748102587,0.17288705181381414,19
BMPC,190000,0.8481064697701804,0.1664657564226157,19
BMPC,200000,0.8700431914377739,0.16332930265043813,19
DreamerV3,0,0.08473622868502098,0.1065412288009005,19
DreamerV3,10000,0.12457213073137685,0.11196787202810159,19
DreamerV3,20000,0.16440803277773267,0.12482542707637713,19
DreamerV3,30000,0.20424393482408854,0.1431250574473305,19
DreamerV3,40000,0.2440798368704444,0.1650666193995821,19
DreamerV3,50000,0.2839157389168003,0.18938850956938863,19
DreamerV3,60000,0.3237516409631561,0.21528548074597473,19
DreamerV3,70000,0.36358754300951196,0.2422529273906501,19
DreamerV3,80000,0.4034234450558678,0.26997024907359124,19
DreamerV3,90000,0.4432593471022236,0.298228439097577,19
DreamerV3,100000,0.4830952491485795,0.3268872593639903,19
DreamerV3,110000,0.49463290990821807,0.3222354281003033,19
DreamerV3,120000,0.5061705706678565,0.3179353158632848,19
DreamerV3,130000,0.5177082314274951,0.31400137290273655,19
DreamerV3,140000,0.5292458921871336,0.3104475196520918,19
DreamerV3,150000,0.540783552946772,0.30728694390273775,19
DreamerV3,160000,0.5523212137064106,0.30453189075965176,19
DreamerV3,170000,0.5638588744660492,0.302193451695811,19
DreamerV3,180000,0.5753965352256877,0.3002813600069514,19
DreamerV3,190000,0.5869341959853261,0.2988038005933592,19
DreamerV3,200000,0.5984718567449647,0.2977672421406752,19
EZ2,10000,0.1809426830997777,0.16994139065321015,19
EZ2,20000,0.3792685091471519,0.30037388494323325,19
EZ2,30000,0.4937504242740229,0.3187297751323088,19
EZ2,40000,0.5565498900623022,0.32270277960898786,19
EZ2,50000,0.6378967185697547,0.28029309370791355,19
EZ2,60000,0.7020803848716066,0.24640661980652243,19
EZ2,70000,0.7631886569751082,0.1880653469470764,19
EZ2,80000,0.772141697177412,0.2210233899635055,19
EZ2,90000,0.7940987436950363,0.18415579478644384,19
EZ2,100000,0.8272709415078268,0.1737830187896693,19
EZ2,110000,0.8206130248979832,0.18035764392023673,19
Ours,10000,0.3453663029568786,0.3531226773953881,19
Ours,20000,0.5791822288522355,0.39213008561871326,19
Ours,30000,0.6809955590441018,0.32638420964079656,19
Ours,40000,0.7366132694571979,0.3146503380969536,19
Ours,50000,0.8191402356872258,0.25881727806650034,19
Ours,60000,0.8790738281915137,0.22525669592933234,19
Ours,70000,0.916306853745462,0.22364711210167312,19
Ours,80000,0.9030454747616808,0.2354958766224268,19
Ours,90000,0.9372522638771265,0.21203648442485856,19
Ours,100000,0.9896633066254431,0.038827828961754574,17
SAC,0,0.06509960820133454,0.10367336546651788,19
SAC,10000,0.0943906745981198,0.10951373368369847,19
SAC,20000,0.12368174099490503,0.12414039618927478,19
SAC,30000,0.15297280739169028,0.1449168969072012,19
SAC,40000,0.18226387378847556,0.1695979510338815,19
SAC,50000,0.21155494018526083,0.19671937353261776,19
SAC,60000,0.24084600658204608,0.22540196936525755,19
SAC,70000,0.27013707297883127,0.25511972210494355,19
SAC,80000,0.2994281393756166,0.285549621541628,19
SAC,90000,0.32871920577240177,0.3164863173357207,19
SAC,100000,0.35801027216918707,0.34779459556091763,19
SAC,110000,0.36593230414132233,0.3483628016581572,19
SAC,120000,0.37385433611345764,0.34956114883752704,19
SAC,130000,0.38177636808559295,0.35138319011281083,19
SAC,140000,0.3896984000577282,0.353819290218683,19
SAC,150000,0.39762043202986347,0.35685687367290886,19
SAC,160000,0.4055424640019988,0.360480735635214,19
SAC,170000,0.4134644959741341,0.36467339848193,19
SAC,180000,0.4213865279462694,0.369415495988418,19
SAC,190000,0.4293085599184046,0.3746861674950518,19
SAC,200000,0.43723059189054,0.3804634461648636,19
SimbaV2,0,0.06753910462847001,0.09433953203168381,19
SimbaV2,10000,0.13995805530789474,0.09311797050205578,19
SimbaV2,20000,0.21237700598731946,0.09539956250624329,19
SimbaV2,30000,0.2847959566667442,0.10094705340840694,19
SimbaV2,40000,0.35721490734616895,0.10926412781326335,19
SimbaV2,50000,0.4296338580255937,0.11977521709954357,19
SimbaV2,60000,0.5020528087050183,0.1319570634910792,19
SimbaV2,70000,0.5744717593844432,0.14539030761584779,19
SimbaV2,80000,0.6468907100638678,0.15975959270594434,19
SimbaV2,90000,0.7193096607432926,0.17483427679949917,19
SimbaV2,100000,0.7917286114227173,0.19044692750458012,19
SimbaV2,110000,0.8028220903473372,0.18139253836608438,19
SimbaV2,120000,0.8139155692719571,0.17259933616604162,19
