method,step,mean_normalized,std_normalized,n_tasks
BMPC,0,0.08937345047514435,0.07940607525003138,5
BMPC,10000,0.10552908888853048,0.09306074722028657,5
BMPC,20000,0.1216847273019166,0.10712986387941428,5
BMPC,30000,0.13784036571530273,0.12146950222786347,5
BMPC,40000,0.15399600412868886,0.13599411525204821,5
BMPC,50000,0.170151642542075,0.15065021065345094,5
BMPC,60000,0.217843720782786,0.15811192744243052,5
BMPC,70000,0.2470632633849506,0.17484211030366203,5
BMPC,80000,0.27628280598711513,0.1940574400758998,5
BMPC,90000,0.3055023485892797,0.21509291280672405,5
BMPC,100000,0.3347218911914443,0.23746531706345364,5
BMPC,110000,0.37332189350592054,0.22311393537497692,5
BMPC,120000,0.35052539045728864,0.20079203245875876,5
BMPC,130000,0.3277288874086568,0.1887980525356687,5
BMPC,140000,0.3049323843600249,0.1891074329198487,5
BMPC,150000,0.282135881311393,0.20166355628060578,5
BMPC,160000,0.8261242940307444,,1
BMPC,170000,0.8281100857570725,,1
BMPC,180000,0.8300958774834005,,1
BMPC,190000,0.8320816692097286,,1
BMPC,200000,0.8340674609360567,,1
Ours,20000,0.13099431390314542,0.09554464641804859,5
Ours,30000,0.2217418767869975,0.15512158975304186,5
Ours,40000,0.2863341685434998,0.17679165394998778,5
Ours,50000,0.30125180188810796,0.2760539795536362,5
Ours,60000,0.3112315070871733,0.24747812307117587,5
Ours,70000,0.26459277576973056,0.2102400191021875,5
Ours,80000,0.39920356981114946,0.2689299345271818,5
Ours,90000,0.5323126232135228,0.25086352130624123,4
SimbaV2,0,0.12968749832119925,0.12419245116166688,5
SimbaV2,10000,0.15755286745344133,0.14352371240108586,5
SimbaV2,20000,0.18541823658568338,0.1637714151905967,5
SimbaV2,30000,0.21328360571792543,0.18463430386027024,5
SimbaV2,40000,0.24114897485016748,0.20592548459745585,5
SimbaV2,50000,0.26901434398240953,0.2275247537471957,5
SimbaV2,60000,0.2968797131146516,0.24935206284496955,5
SimbaV2,70000,0.3247450822468937,0.27135238756763486,5
SimbaV2,80000,0.3526104513791357,0.29348682176303037,5
SimbaV2,90000,0.3804758205113778,0.3157271609709374,5
SimbaV2,100000,0.4083411896436198,0.33805250349208527,5
SimbaV2,110000,0.44663765102879294,0.33008647394315915,5
SimbaV2,120000,0.484934112413966,0.3239236767338319,5
SimbaV2,130000,0.5232305737991391,0.319668420903402,5
SimbaV2,140000,0.5615270351843122,0.3173974372967741,5
SimbaV2,150000,0.5998234965694852,0.31715335405418493,5
SimbaV2,160000,0.6381199579546584,0.31894082472874685,5
SimbaV2,170000,0.6764164193398315,0.3227260948158078,5
SimbaV2,180000,0.7147128807250046,0.32844009769978566,5
SimbaV2,190000,0.7530093421101777,0.3359844433669545,5
SimbaV2,200000,0.7913058034953508,0.3452391598555039,5
