method,step,mean_reward,std_reward,n_tasks
BMPC,0,53.59203885609844,76.2065716932462,27
BMPC,10000,91.3650060994327,87.18746039285544,27
BMPC,20000,129.137973342767,108.79899824776831,27
BMPC,30000,166.91094058610125,136.06670378576956,27
BMPC,40000,204.68390782943553,166.23005392520062,27
BMPC,50000,242.4568750727698,197.96987363301054,27
BMPC,60000,280.2298423161041,230.63622437511742,27
BMPC,70000,318.0028095594384,263.8852443983808,27
BMPC,80000,355.77577680277267,297.5216521832001,27
BMPC,90000,393.54874404610683,331.42752135858206,27
BMPC,100000,431.3217112894411,365.5278749964356,27
BMPC,110000,448.37325846972294,359.68748728417796,27
BMPC,120000,465.42480565000466,354.7555436249982,27
BMPC,130000,482.47635283028643,350.7703651550353,27
BMPC,140000,499.52790001056815,347.76450152911247,27
BMPC,150000,516.5794471908498,345.76349444534173,27
BMPC,160000,533.6309943711317,344.7848398244652,27
BMPC,170000,550.6825415514134,344.837242143271,27
BMPC,180000,567.7340887316951,345.9202328277983,27
BMPC,190000,584.7856359119769,348.0241909763831,27
BMPC,200000,601.8371830922586,351.13076430919625,27
DreamerV3,0,65.74791666666667,98.22820200626731,24
DreamerV3,10000,98.66289855072463,110.73281019002519,23
DreamerV3,20000,128.99971014492755,128.66266391133308,23
DreamerV3,30000,159.33652173913043,150.98860797962377,23
DreamerV3,40000,189.67333333333335,176.04599176684403,23
DreamerV3,50000,220.01014492753623,202.82498740885524,23
DreamerV3,60000,250.34695652173914,230.72692222693954,23
DreamerV3,70000,280.68376811594203,259.3896732445482,23
DreamerV3,80000,311.02057971014494,288.58663405326683,23
DreamerV3,90000,341.35739130434786,318.17077324160067,23
DreamerV3,100000,335.4525641025641,342.5879043299141,26
DreamerV3,110000,342.4915384615385,342.86288824605583,26
DreamerV3,120000,349.5305128205128,343.4166791130853,26
DreamerV3,130000,356.5694871794872,344.2479313853023,26
DreamerV3,140000,363.60846153846154,345.3546415591187,26
DreamerV3,150000,370.6474358974359,346.7341720153386,26
DreamerV3,160000,377.6864102564102,348.383281822284,26
DreamerV3,170000,384.72538461538466,350.29816367879386,26
DreamerV3,180000,391.76435897435897,352.47448604625646,26
DreamerV3,190000,398.80333333333334,354.9074394314351,26
DreamerV3,200000,405.84230769230766,357.5917857380821,26
Ours,10000,238.10422071262641,324.52617316759364,27
Ours,20000,396.91800611548956,404.45720629156716,27
Ours,30000,458.7079507487792,391.86924654747037,27
Ours,40000,499.99873175444424,395.0797227451184,27
Ours,50000,559.5418053026552,365.4728744296536,27
Ours,60000,618.1013239533813,375.0013339430251,27
Ours,70000,652.4805439136646,360.4941035113134,27
Ours,80000,658.5220933137117,332.5784404013989,27
Ours,90000,736.7848596987517,326.16935957003767,23
Ours,100000,815.4406730651856,242.5853214721685,20
SAC,0,48.47654320987654,89.13306810789166,27
SAC,10000,68.18654320987655,98.47966786328438,27
SAC,20000,87.89654320987654,114.59063480133186,27
SAC,30000,107.60654320987653,135.06668588313795,27
SAC,40000,127.31654320987654,158.2221006569846,27
SAC,50000,147.02654320987654,183.04284767981596,27
SAC,60000,166.73654320987654,208.93626417339885,27
SAC,70000,186.44654320987652,235.54886613250537,27
SAC,80000,206.15654320987653,262.66214351416204,27
SAC,90000,225.86654320987654,290.13576543434317,27
SAC,100000,245.57654320987655,317.8763133397372,27
SAC,110000,250.50765432098765,319.7927192459949,27
SAC,120000,255.43876543209876,322.1591996324472,27
SAC,130000,260.3698765432099,324.96592199440926,27
SAC,140000,265.300987654321,328.20159191009475,27
SAC,150000,270.2320987654321,331.8536625257442,27
SAC,160000,275.1632098765432,335.90855251982947,27
SAC,170000,280.0943209876543,340.35186484720475,27
SAC,180000,285.0254320987654,345.1685994970561,27
SAC,190000,289.95654320987654,350.34335469269945,27
SAC,200000,294.8876543209876,355.86051228071995,27
SimbaV2,0,50.284721313718876,82.17393755627157,27
SimbaV2,10000,100.80618941622855,95.27844592696218,27
SimbaV2,20000,151.32765751873825,114.9977350766249,27
SimbaV2,30000,201.8491256212479,138.53536175645436,27
SimbaV2,40000,252.37059372375757,164.25798127023012,27
SimbaV2,50000,302.89206182626725,191.28615458180022,27
SimbaV2,60000,353.41352992877694,219.13733599766834,27
SimbaV2,70000,403.9349980312866,247.53387988588375,27
SimbaV2,80000,454.45646613379625,276.30769429081187,27
SimbaV2,90000,504.977934236306,305.3521454435714,27
SimbaV2,100000,555.4994023388156,334.59676343237487,27
SimbaV2,110000,567.6123754310906,329.20110163480723,27
SimbaV2,120000,579.7253485233656,324.1093858314006,27
SimbaV2,130000,591.8383216156407,319.3361553265331,27
SimbaV2,140000,603.9512947079155,314.89589337071806,27
SimbaV2,150000,616.0642678001905,310.8028710823641,27
SimbaV2,160000,628.1772408924655,307.07097409658496,27
SimbaV2,170000,640.2902139847405,303.71351474785814,27
SimbaV2,180000,652.4031870770154,300.74303382897557,27
SimbaV2,190000,664.5161601692905,298.1710971927061,27
SimbaV2,200000,676.6291332615655,296.00809356136705,27
TDMPC2,0,50.31358024691358,73.70765147124669,27
TDMPC2,10000,87.49580246913581,87.77093713544761,27
TDMPC2,20000,124.67802469135803,112.63664721928997,27
TDMPC2,30000,161.86024691358023,142.76781345566323,27
TDMPC2,40000,199.04246913580246,175.47261949363917,27
TDMPC2,50000,236.2246913580247,209.5494910419686,27
TDMPC2,60000,273.4069135802469,244.42523513515715,27
TDMPC2,70000,310.5891358024691,279.801285409388,27
TDMPC2,80000,347.7713580246914,315.50939832840936,27
TDMPC2,90000,384.95358024691365,351.4483730525783,27
TDMPC2,100000,422.1358024691358,387.5539895033899,27
TDMPC2,110000,437.0367901234568,382.8874662189806,27
TDMPC2,120000,451.93777777777774,378.8354463600303,27
TDMPC2,130000,466.8387654320988,375.4178281243858,27
TDMPC2,140000,481.73975308641974,372.6520663461742,27
TDMPC2,150000,496.6407407407408,370.5527574504487,27
TDMPC2,160000,511.54172839506174,369.131272286437,27
TDMPC2,170000,526.4427160493827,368.3954572590323,27
TDMPC2,180000,541.3437037037037,368.3494214763942,27
TDMPC2,190000,556.2446913580247,368.99342311010395,27
TDMPC2,200000,571.1456790123457,370.3238622052934,27
