method,step,mean_reward,std_reward,n_tasks
BMPC,0,69.56136338135828,84.89642337501118,19
BMPC,10000,121.44720130233547,86.27614250646579,19
BMPC,20000,173.33303922331265,98.826296731538,19
BMPC,30000,225.21887714428982,119.06550794201976,19
BMPC,40000,277.10471506526704,143.78263988833803,19
BMPC,50000,328.9905529862442,171.04734426753018,19
BMPC,60000,380.8763909072214,199.81950486536005,19
BMPC,70000,432.7622288281986,229.5329369921612,19
BMPC,80000,484.6480667491757,259.8649608927769,19
BMPC,90000,536.5339046701529,290.6219550056543,19
BMPC,100000,588.4197425911301,321.6820443524317,19
BMPC,110000,605.7257426213591,309.92457579371677,19
BMPC,120000,623.031742651588,298.8785952727598,19
BMPC,130000,640.3377426818171,288.6258022988736,19
BMPC,140000,657.643742712046,279.2535761673719,19
BMPC,150000,674.9497427422749,270.8533419786644,19
BMPC,160000,692.2557427725038,263.51806945426694,19
BMPC,170000,709.561742802733,257.3388427850405,19
BMPC,180000,726.8677428329619,252.40058259071282,19
BMPC,190000,744.1737428631908,248.77719989473718,19
BMPC,200000,761.4797428934197,246.5266786616578,19
DreamerV3,0,81.51842105263158,105.1984701126166,19
DreamerV3,10000,118.28868421052633,112.45797997498991,19
DreamerV3,20000,155.05894736842106,126.92194683723483,19
DreamerV3,30000,191.8292105263158,146.4713900416426,19
DreamerV3,40000,228.59947368421055,169.3542435116009,19
DreamerV3,50000,265.3697368421052,194.3969024262494,19
DreamerV3,60000,302.14,220.8659225261637,19
DreamerV3,70000,338.91026315789475,248.30557782020207,19
DreamerV3,80000,375.6805263157895,276.42696757515176,19
DreamerV3,90000,412.4507894736842,305.0416053784174,19
DreamerV3,100000,449.22105263157897,334.02275042842314,19
DreamerV3,110000,458.63745614035093,331.1034071085333,19
DreamerV3,120000,468.0538596491228,328.4885872122804,19
DreamerV3,130000,477.4702631578947,326.1856143260936,19
DreamerV3,140000,486.88666666666666,324.2011341630264,19
DreamerV3,150000,496.30307017543856,322.54102549385004,19
DreamerV3,160000,505.7194736842105,321.21031769758986,19
DreamerV3,170000,515.1358771929824,320.21311746847465,19
DreamerV3,180000,524.5522807017544,319.5525470671483,19
DreamerV3,190000,533.9686842105262,319.2306962214869,19
DreamerV3,200000,543.3850877192982,319.24858937470464,19
EZ2,10000,172.16225930668148,166.77071314050147,19
EZ2,20000,360.1765418995978,298.9892572278135,19
EZ2,30000,466.88798262674646,322.8421899495752,19
EZ2,40000,522.5100633252301,325.8441463037104,19
EZ2,50000,578.8296125662199,308.29507902000074,19
EZ2,60000,618.7579424426491,283.18545269932093,19
EZ2,70000,676.1209379898928,252.86558122689266,19
EZ2,80000,687.8414095671769,270.74019440151324,19
EZ2,90000,696.1769563213912,251.29008858559567,19
EZ2,100000,722.8619043814303,245.28457707217365,19
EZ2,110000,714.4180290658757,245.16901152281315,19
Ours,10000,329.21216512981215,349.5578788257389,19
Ours,20000,549.3430842349404,390.74383159864936,19
Ours,30000,632.5552894190738,334.83001713656927,19
Ours,40000,668.6842101247687,339.85122545806115,19
Ours,50000,720.4127015063638,293.5428634013424,19
Ours,60000,776.9129702919408,292.8889948280294,19
Ours,70000,801.1673443442896,287.3473827267412,19
Ours,80000,787.1450102956671,286.6893567424406,19
Ours,90000,815.1842723645663,277.6830013316353,19
Ours,100000,861.704163495232,225.97068965988396,17
SAC,0,62.92456140350877,102.77371754268626,19
SAC,10000,90.65947368421052,109.63931461935282,19
SAC,20000,118.39438596491227,124.27707865025941,19
SAC,30000,146.12929824561402,144.34152528107714,19
SAC,40000,173.8642105263158,167.89827348152417,19
SAC,50000,201.59912280701755,193.67719336738972,19
SAC,60000,229.3340350877193,220.9016769928323,19
SAC,70000,257.06894736842105,249.09820802407575,19
SAC,80000,284.80385964912284,277.971139254329,19
SAC,90000,312.5387719298246,307.32989107940216,19
SAC,100000,340.2736842105263,337.0475342119989,19
SAC,110000,347.4947368421052,337.394285479858,19
