method,step,mean_reward,std_reward,n_tasks
BMPC,0,6.54972551209586,6.51007171697859,7
BMPC,10000,10.689083374738692,11.957981634190011,7
BMPC,20000,14.828441237381526,17.45172689261494,7
BMPC,30000,18.96779910002436,22.958427081849194,7
BMPC,40000,23.107156962667194,28.47056607056007,7
BMPC,50000,27.246514825310026,33.985497590163945,7
BMPC,60000,31.385872687952862,39.50205205165075,7
BMPC,70000,35.525230550595694,45.019632849446744,7
BMPC,80000,39.664588413238526,50.53790382746415,7
BMPC,90000,43.80394627588136,56.05666116008354,7
BMPC,100000,47.94330413852419,61.57577407817295,7
BMPC,110000,64.75818420563425,83.24630240501682,7
BMPC,120000,81.57306427274432,105.09856993249528,7
BMPC,130000,98.38794433985437,127.03882700407173,7
BMPC,140000,115.20282440696442,149.02821665125074,7
BMPC,150000,132.0177044740745,171.04779091499705,7
BMPC,160000,148.83258454118456,193.08722335389197,7
BMPC,170000,165.6474646082946,215.14041111585186,7
BMPC,180000,182.46234467540467,237.20351766920848,7
BMPC,190000,199.27722474251473,259.274010886479,7
BMPC,200000,216.0921048096248,281.35015243401665,7
DreamerV3,0,5.82,3.1129969482799043,5
DreamerV3,10000,5.440416666666667,3.4776701372230994,4
DreamerV3,20000,5.218333333333334,3.3972161806069656,4
DreamerV3,30000,4.99625,3.331109362259566,4
DreamerV3,40000,4.774166666666667,3.2802172184170972,4
DreamerV3,50000,4.552083333333333,3.245255618249166,4
DreamerV3,60000,4.33,3.2267424233531043,4
DreamerV3,70000,4.107916666666666,3.2249609170758435,4
DreamerV3,80000,3.8858333333333333,3.239938699694452,4
DreamerV3,90000,3.66375,3.2714455902551705,4
DreamerV3,100000,10.827777777777778,19.68605165160423,6
DreamerV3,110000,10.474722222222223,18.660842079864178,6
DreamerV3,120000,10.121666666666668,17.638658017736688,6
DreamerV3,130000,9.768611111111111,16.620057708706693,6
DreamerV3,140000,9.415555555555555,15.605742912525884,6
DreamerV3,150000,9.0625,14.596607054380822,6
DreamerV3,160000,8.709444444444445,13.593803558430041,6
DreamerV3,170000,8.356388888888889,12.598844586207395,6
DreamerV3,180000,8.003333333333334,11.61374645265974,6
DreamerV3,190000,7.650277777777777,10.641248068857475,6
DreamerV3,200000,7.297222222222222,9.68514565178533,6
Ours,10000,12.078786594527108,14.873124659447724,7
Ours,20000,22.08484239237649,31.416825481335533,7
Ours,30000,31.594958773681096,64.8367532136857,7
Ours,40000,101.20564896719796,160.4453564736251,7
Ours,50000,180.0700923374721,208.9340114283679,7
Ours,60000,262.4040285348892,279.58910143992443,7
Ours,70000,331.9242706298828,263.16641107238564,7
Ours,80000,363.9942953927176,234.0916833491263,7
Ours,90000,436.40224202473956,330.77620941783334,3
Ours,100000,536.5391693115234,238.43414943320246,2
SAC,0,7.266666666666667,8.05920223972204,7
SAC,10000,7.521428571428572,8.341674682456548,7
SAC,20000,7.776190476190477,8.625255643784417,7
SAC,30000,8.030952380952382,8.909839279068729,7
SAC,40000,8.285714285714286,9.195332494398432,7
SAC,50000,8.54047619047619,9.481653127579916,7
SAC,60000,8.795238095238096,9.768728424234908,7
SAC,70000,9.05,10.056493756109365,7
SAC,80000,9.304761904761904,10.344891538937512,7
SAC,90000,9.55952380952381,10.63387031534605,7
SAC,100000,9.814285714285715,10.923383974772538,7
SAC,110000,9.791428571428572,10.86260947728881,7
SAC,120000,9.768571428571429,10.802482371974758,7
SAC,130000,9.745714285714286,10.743013528919139,7
SAC,140000,9.722857142857142,10.684213939884746,7
SAC,150000,9.700000000000001,10.626094714846507,7
SAC,160000,9.677142857142856,10.568667078185584,7
SAC,170000,9.654285714285715,10.511942364526751,7
SAC,180000,9.631428571428572,10.455932014206782,7
SAC,190000,9.608571428571429,10.40064756836178,7
SAC,200000,9.585714285714285,10.34610066362197,7
SimbaV2,0,7.146179683367691,8.116371438327525,7
SimbaV2,10000,21.517674030125022,24.791374294722903,7
SimbaV2,20000,35.88916837688235,41.64011841540157,7
SimbaV2,30000,50.260662723639676,58.5127093203498,7
SimbaV2,40000,64.63215707039701,75.39313835156554,7
SimbaV2,50000,79.00365141715432,92.27710407853252,7
SimbaV2,60000,93.37514576391166,109.16296547764638,7
SimbaV2,70000,107.74664011066899,126.0499607090727,7
SimbaV2,80000,122.11813445742632,142.9376879125138,7
SimbaV2,90000,136.48962880418364,159.82591506049042,7
SimbaV2,100000,150.86112315094098,176.71449881716686,7
SimbaV2,110000,171.91478211766807,181.47696149299912,7
SimbaV2,120000,192.96844108439518,186.78686823471463,7
