method,step,mean_reward,std_reward,n_tasks
BMPC,0,11.434008440971374,6.61374800264174,5
BMPC,10000,14.030160472817434,8.809997192956896,5
BMPC,20000,16.626312504663495,11.078455889969428,5
BMPC,30000,19.222464536509555,13.382453651730584,5
BMPC,40000,21.818616568355615,15.706358363543897,5
BMPC,50000,24.414768600201672,18.042479508538797,5
BMPC,60000,29.698157978562342,15.631450215344438,5
BMPC,70000,37.397350616346145,28.060424325650214,5
BMPC,80000,45.09654325412996,40.93361989813904,5
BMPC,90000,52.79573589191377,53.93388276143429,5
BMPC,100000,60.49492852969759,66.98727363172787,5
BMPC,110000,75.50093523168844,92.97106051344733,5
BMPC,120000,66.31963032307048,73.28297594422577,5
BMPC,130000,57.13832541445252,54.13500239637136,5
BMPC,140000,47.95702050583455,36.38996917605961,5
BMPC,150000,38.77571559721658,23.479537469470618,5
BMPC,160000,53.40312558184006,,1
BMPC,170000,53.531493051126134,,1
BMPC,180000,53.65986052041222,,1
BMPC,190000,53.78822798969829,,1
BMPC,200000,53.916595458984375,,1
Ours,20000,18.22246188902167,9.836971981064313,5
Ours,30000,27.661737594489438,9.445905278783279,5
Ours,40000,41.50651960957242,24.07402249685081,5
Ours,50000,33.944982004814634,21.67161053537697,5
Ours,60000,38.79604076897199,18.943869389271143,5
Ours,70000,38.2969927875875,25.303344036658864,5
Ours,80000,55.45264771207858,30.104417694338956,5
Ours,90000,54.31038620514401,21.050364205132205,4
SimbaV2,0,16.55978103549232,9.866172897277082,5
SimbaV2,10000,19.776604089988066,11.132804381130121,5
SimbaV2,20000,22.99342714448381,12.679868849672129,5
SimbaV2,30000,26.210250198979555,14.417371105998892,5
SimbaV2,40000,29.427073253475307,16.284467448403962,5
SimbaV2,50000,32.64389630797105,18.241407441724316,5
SimbaV2,60000,35.860719362466796,20.26217623402513,5
SimbaV2,70000,39.07754241696254,22.3294514247265,5
SimbaV2,80000,42.294365471458285,24.431430392561527,5
SimbaV2,90000,45.511188525954026,26.559874924983504,5
SimbaV2,100000,48.728011580449774,28.708899246432058,5
SimbaV2,110000,59.40615468847667,33.012778051801575,5
SimbaV2,120000,70.08429779650358,43.48252963267627,5
SimbaV2,130000,80.76244090453046,56.805470701499885,5
SimbaV2,140000,91.44058401255737,71.40193883771423,5
SimbaV2,150000,102.11872712058425,86.6305747860058,5
SimbaV2,160000,112.79687022861114,102.20919897703011,5
SimbaV2,170000,123.47501333663804,117.99927318887121,5
SimbaV2,180000,134.15315644466494,133.92602749458717,5
SimbaV2,190000,144.83129955269186,149.94591510829264,5
SimbaV2,200000,155.50944266071875,166.03197982511992,5
