task,BMPC_mean,BMPC_std,DreamerV3_mean,DreamerV3_std,EZ2_mean,EZ2_std,Ours_mean,Ours_std,SAC_mean,SAC_std,SimbaV2_mean,SimbaV2_std,TDMPC2_mean,TDMPC2_std
acrobot-swingup,242.34495391845704,86.36917740984521,177.69999999999996,67.25139403759597,285.94657055993775,100.14465094369763,373.11138916015625,,3.1333333333333333,3.36204302966713,192.52938281996688,45.26424408894184,296.3,110.638736435301
cartpole-balance,992.5123779296875,11.11548981602913,948.5,17.918426270183428,939.4739817781156,8.785977669637171,999.2063598632812,,998.0333333333334,1.1930353445448565,999.730763807099,0.09186930068588085,995.5666666666666,5.346338310781813
cartpole-balance-sparse,1000.0,0.0,958.0666666666666,22.81322715736056,999.8,,1000.0,,806.8666666666667,334.51674596846914,1000.0,0.0,1000.0,0.0
cartpole-swingup,875.470654296875,3.3583463924930523,795.5666666666666,19.48443823499494,796.1512179579258,29.942844042352686,880.6173706054688,,842.0,3.40440890610987,880.4204376093445,0.9266469461142192,871.9,11.107204868912783
cartpole-swingup-sparse,370.88000297546387,356.18322101907614,614.9,309.27523340869055,790.0,,847.7999877929688,0.0,54.800000000000004,64.1756963343601,779.3,84.22398708206588,308.2333333333333,415.5412895649881
cheetah-run,611.3686096191407,107.28278541684776,353.4333333333334,107.99344115886545,663.3243318552197,26.770939557222725,804.29150390625,,573.6666666666666,0.2081665999465969,623.5611081660502,240.69508423356748,614.4,94.25746654774888
dog-run,174.87336730957034,18.155621017271038,6.449999999999999,1.9091883092036785,,,164.91371154785156,,8.9,1.8193405398660252,165.9053118829899,38.457847805295025,66.89999999999999,47.208156074983485
dog-stand,780.231787109375,89.12301971567256,26.6,,,,751.5514526367188,,31.066666666666663,13.31515427373387,826.6487002355473,73.821736989758,525.8666666666667,47.267994809737125
dog-trot,130.5706262588501,72.11695816733928,6.45,0.636396103067893,,,351.5791015625,,9.866666666666667,2.294195574342635,303.48756351421235,82.3072040798564,71.0,38.65902223285012
dog-walk,378.90919799804686,139.68594639379032,3.8,,,,260.91082763671875,,11.066666666666668,2.8988503468329196,506.8887732429677,154.39026259039713,207.70000000000002,87.72616485405025
finger-spin,982.4200195312499,3.7412002191434124,508.6666666666667,261.83789514379566,770.1333333333333,50.29058891416299,985.4000244140625,,807.1666666666666,26.260680366916066,788.6200000000001,142.2402088018715,974.4000000000001,9.153687781435448
finger-turn-easy,797.2199951171875,135.91602276602893,542.1666666666666,200.16898694186705,312.975,64.18350644830805,985.7999877929688,,100.53333333333335,100.80105819550374,831.0200000000001,147.14111254166866,768.0,97.8098665779685
finger-turn-hard,752.9200073242188,198.13174922945876,377.6666666666667,155.68571974761636,328.3,173.24116139070415,983.5999755859375,,124.33333333333333,200.16543990742593,804.72,109.67359299302636,797.1,67.92672522652624
fish-swim,268.84409484863284,93.64188716162538,183.80000000000004,86.98085996355752,,,586.7643432617188,,57.666666666666664,21.012932525788337,617.2177611705553,152.92964486799553,378.8666666666666,197.52562702933847
h1-balance-hard-v0,53.916595458984375,,,,,,45.42899703979492,,,,64.64296712699341,5.1698568225190655,,
h1-balance-simple-v0,59.41681671142578,,,,,,59.36137008666992,,,,133.4302467555529,29.997848192829174,,
h1-run-v0,144.5816650390625,,,,,,31.636409759521484,,,,29.53833781839064,9.485963532163247,,
h1-slide-v0,64.66749572753906,,,,,,81.01822662353516,,,,105.98124289957448,27.795918935785103,,
h1-stand-v0,590.1868286132812,,,,,,97.02178955078125,,,,443.9544187030823,212.79828821055597,,
hopper-hop,233.68749084472657,94.09960560898095,51.166666666666664,61.725305453544195,183.20928155777725,102.43421721166538,230.2215118408203,,0.0,0.0,221.3308064287249,146.36398837596244,166.63333333333333,42.73573836185979
hopper-stand,872.0396850585937,79.77987561210816,313.93333333333334,245.85136431049827,794.3127534599803,93.33940481181068,732.1928100585938,,46.1,78.29029314033765,749.4934730992536,403.5302475190476,261.5,216.86011620397144
humanoid-run,1.2679742097854614,0.17420332427744512,0.9,,,,153.04989624023438,,0.7000000000000001,0.17320508075688776,88.83713678559792,30.736347794706663,1.0999999999999999,0.17320508075688767
humanoid-stand,42.87005100250244,69.00035628663728,4.733333333333333,0.89628864398325,,,705.1375732421875,,4.433333333333334,1.0016652800877814,322.56094015153485,80.13865919688043,36.9,51.96306380497594
humanoid-walk,3.9217297792434693,2.7548964391972772,1.3,,,,367.9407653808594,,1.0666666666666667,0.2516611478423583,315.4555639146348,54.235398911132926,1.5999999999999999,0.3605551275463989
humanoid_h1-crawl-v0,,,,,,,474.0849609375,,,,,,,
humanoid_h1-hurdle-v0,,,,,,,19.436527252197266,,,,,,,
humanoid_h1-maze-v0,,,,,,,128.0056915283203,,,,,,,
humanoid_h1-pole-v0,,,,,,,42.225494384765625,,,,,,,
humanoid_h1-reach-v0,,,,,,,625.0848999023438,,,,,,,
humanoid_h1-sit_hard-v0,,,,,,,535.3018798828125,,,,,,,
humanoid_h1-sit_simple-v0,,,,,,,539.8722534179688,,,,,,,
humanoid_h1-stair-v0,,,,,,,36.6296272277832,,,,,,,
pendulum-swingup,841.4,21.00697220921416,733.0666666666666,74.84265717712948,871.6500000000001,8.55599205235724,926.4000244140625,,267.93333333333334,464.07414637462114,839.0199999999999,39.696435608250766,824.5,45.499560437437175
quadruped-run,578.9174194335938,112.15767536990998,69.46666666666667,18.32220874603642,498.2001663625655,13.35339347466208,904.96728515625,,76.63333333333334,76.1922786989163,880.0606796890648,41.838117622114446,759.0333333333334,59.486497067261666
quadruped-walk,732.8180786132813,230.2239674545202,58.03333333333333,48.95102995171126,929.7195162152656,2.9840943577042975,966.2490234375,,74.10000000000001,61.053746813770566,951.3897494963397,8.554028500864554,914.6666666666666,32.249857880823804
reacher-easy,960.6400146484375,27.770815546600073,844.4666666666667,34.06792235128716,891.1333333333333,32.88469755575279,988.2000122070312,,714.6,80.71623132926857,920.8199999999999,83.5311139636004,976.2333333333332,8.348253310323885
reacher-hard,860.4800170898437,164.1500590349632,866.6,57.41950887982237,854.7666666666668,59.840983726317,978.4000244140625,,197.20000000000002,192.95857068293185,936.82,83.57043137378197,870.9333333333334,175.14126679150556
walker-run,809.1369018554688,7.684683161167835,377.3,38.119417624092854,656.9691571427512,60.06549395187507,830.0069580078125,,488.8333333333333,15.02142913751329,772.3823061278466,17.937526722782646,780.5,17.297109585130155
walker-stand,980.6401489257812,5.476299595248661,931.2666666666668,10.562354535487469,979.1516559504669,4.94216596175119,984.4769287109375,,738.7333333333332,343.01359059566914,980.8707838989006,8.700026409763097,977.6666666666666,11.150934191059203
walker-walk,973.2187377929688,5.572695064784959,802.3499999999999,74.88260812765536,955.9072581954669,25.48068465286244,976.4469604492188,,922.5333333333334,5.751811308912465,969.8953560216363,9.571901818316485,973.4333333333334,4.488132499529548
