task,BMPC,DreamerV3,EZ2,Ours,SAC,SimbaV2,TDMPC2
acrobot-swingup,242 ± 86,178 ± 67,286 ± 100,373 ± nan,3 ± 3,193 ± 45,296 ± 111
cartpole-balance,993 ± 11,948 ± 18,939 ± 9,999 ± nan,998 ± 1,1000 ± 0,996 ± 5
cartpole-balance-sparse,1000 ± 0,958 ± 23,1000 ± nan,1000 ± nan,807 ± 335,1000 ± 0,1000 ± 0
cartpole-swingup,875 ± 3,796 ± 19,796 ± 30,881 ± nan,842 ± 3,880 ± 1,872 ± 11
cartpole-swingup-sparse,371 ± 356,615 ± 309,790 ± nan,848 ± 0,55 ± 64,779 ± 84,308 ± 416
cheetah-run,611 ± 107,353 ± 108,663 ± 27,804 ± nan,574 ± 0,624 ± 241,614 ± 94
dog-run,175 ± 18,6 ± 2,—,165 ± nan,9 ± 2,166 ± 38,67 ± 47
dog-stand,780 ± 89,27 ± nan,—,752 ± nan,31 ± 13,827 ± 74,526 ± 47
dog-trot,131 ± 72,6 ± 1,—,352 ± nan,10 ± 2,303 ± 82,71 ± 39
dog-walk,379 ± 140,4 ± nan,—,261 ± nan,11 ± 3,507 ± 154,208 ± 88
finger-spin,982 ± 4,509 ± 262,770 ± 50,985 ± nan,807 ± 26,789 ± 142,974 ± 9
finger-turn-easy,797 ± 136,542 ± 200,313 ± 64,986 ± nan,101 ± 101,831 ± 147,768 ± 98
finger-turn-hard,753 ± 198,378 ± 156,328 ± 173,984 ± nan,124 ± 200,805 ± 110,797 ± 68
fish-swim,269 ± 94,184 ± 87,—,587 ± nan,58 ± 21,617 ± 153,379 ± 198
h1-balance-hard-v0,54 ± nan,—,—,45 ± nan,—,65 ± 5,—
h1-balance-simple-v0,59 ± nan,—,—,59 ± nan,—,133 ± 30,—
h1-run-v0,145 ± nan,—,—,32 ± nan,—,30 ± 9,—
h1-slide-v0,65 ± nan,—,—,81 ± nan,—,106 ± 28,—
h1-stand-v0,590 ± nan,—,—,97 ± nan,—,444 ± 213,—
hopper-hop,234 ± 94,51 ± 62,183 ± 102,230 ± nan,0 ± 0,221 ± 146,167 ± 43
hopper-stand,872 ± 80,314 ± 246,794 ± 93,732 ± nan,46 ± 78,749 ± 404,262 ± 217
humanoid-run,1 ± 0,1 ± nan,—,153 ± nan,1 ± 0,89 ± 31,1 ± 0
humanoid-stand,43 ± 69,5 ± 1,—,705 ± nan,4 ± 1,323 ± 80,37 ± 52
humanoid-walk,4 ± 3,1 ± nan,—,368 ± nan,1 ± 0,315 ± 54,2 ± 0
humanoid_h1-crawl-v0,—,—,—,474 ± nan,—,—,—
humanoid_h1-hurdle-v0,—,—,—,19 ± nan,—,—,—
humanoid_h1-maze-v0,—,—,—,128 ± nan,—,—,—
humanoid_h1-pole-v0,—,—,—,42 ± nan,—,—,—
humanoid_h1-reach-v0,—,—,—,625 ± nan,—,—,—
humanoid_h1-sit_hard-v0,—,—,—,535 ± nan,—,—,—
humanoid_h1-sit_simple-v0,—,—,—,540 ± nan,—,—,—
humanoid_h1-stair-v0,—,—,—,37 ± nan,—,—,—
pendulum-swingup,841 ± 21,733 ± 75,872 ± 9,926 ± nan,268 ± 464,839 ± 40,824 ± 45
quadruped-run,579 ± 112,69 ± 18,498 ± 13,905 ± nan,77 ± 76,880 ± 42,759 ± 59
quadruped-walk,733 ± 230,58 ± 49,930 ± 3,966 ± nan,74 ± 61,951 ± 9,915 ± 32
reacher-easy,961 ± 28,844 ± 34,891 ± 33,988 ± nan,715 ± 81,921 ± 84,976 ± 8
reacher-hard,860 ± 164,867 ± 57,855 ± 60,978 ± nan,197 ± 193,937 ± 84,871 ± 175
walker-run,809 ± 8,377 ± 38,657 ± 60,830 ± nan,489 ± 15,772 ± 18,780 ± 17
walker-stand,981 ± 5,931 ± 11,979 ± 5,984 ± nan,739 ± 343,981 ± 9,978 ± 11
walker-walk,973 ± 6,802 ± 75,956 ± 25,976 ± nan,923 ± 6,970 ± 10,973 ± 4
