task,mean_reward,std_reward,n_runs,min_reward,max_reward
finger-spin,970.3000081380209,12.124755504556369,3,956.4000244140625,978.7000122070312
walker-walk,506.21514892578125,,1,506.21514892578125,506.21514892578125
reacher-easy,402.9593758583069,169.0211718296256,32,131.6999969482422,826.2999877929688
finger-turn-easy,397.3999938964844,142.26989300640793,2,296.79998779296875,498.0
cheetah-run,284.10739066384053,49.83307864916893,44,172.4220428466797,375.39910888671875
finger-turn-hard,280.9499969482422,81.95367162368358,2,223.0,338.8999938964844
walker-run,196.14734654093897,28.93673840069716,86,63.2899055480957,264.6243591308594
reacher-hard,97.15000240970403,110.34893108779359,8,0.10000000149011612,262.70001220703125
quadruped-walk,89.67394076260653,56.64597334120528,55,26.92598533630371,272.805908203125
acrobot-swingup,22.243824287372476,16.364213486825196,68,1.0731621980667114,85.49913787841797
