step,reward,seed,ucb,lcb
0,4.631263637542725,0,8.596045595341192,0.6664816797442579
100000,203.7808074951172,0,273.6352215027031,133.9263934875313
200000,242.34495391845704,0,351.5942820185662,133.09562581834786
300000,384.71629638671874,0,414.6436489372468,354.7889438361907
400000,418.2146362304687,0,540.7318529368024,295.6974195241351
500000,393.78370361328126,0,460.5390485066821,327.02835871988043
600000,441.07020263671876,0,505.7442871023552,376.3961181710823
700000,469.90593872070315,0,559.6997675919981,380.1121098494082
800000,460.38230590820314,0,507.23971175828984,413.52490005811643
900000,503.6868835449219,0,562.7531344555504,444.62063263429343
1000000,477.2116271972656,0,521.2822100730458,433.1410443214854
