step,reward,seed
0,20.162182200291277,0
0,26.04109113829261,1
0,31.920000076293945,2
0,37.798909014295276,3
0,43.677817952296614,4
100000,987.9237282328478,0
100000,992.2018665578302,1
100000,996.4800048828125,2
100000,1000.7581432077949,3
100000,1005.0362815327773,4
200000,1000.0,0
200000,1000.0,1
200000,1000.0,2
200000,1000.0,3
200000,1000.0,4
300000,1000.0,0
300000,1000.0,1
300000,1000.0,2
300000,1000.0,3
300000,1000.0,4
400000,1000.0,0
400000,1000.0,1
400000,1000.0,2
400000,1000.0,3
400000,1000.0,4
500000,944.8937681052703,0
500000,964.5368864940414,1
500000,984.1800048828125,2
500000,1003.8231232715835,3
500000,1023.4662416603546,4
600000,1000.0,0
600000,1000.0,1
600000,1000.0,2
600000,1000.0,3
600000,1000.0,4
700000,1000.0,0
700000,1000.0,1
700000,1000.0,2
700000,1000.0,3
700000,1000.0,4
800000,1000.0,0
800000,1000.0,1
800000,1000.0,2
800000,1000.0,3
800000,1000.0,4
900000,1000.0,0
900000,1000.0,1
900000,1000.0,2
900000,1000.0,3
900000,1000.0,4
1000000,1000.0,0
1000000,1000.0,1
1000000,1000.0,2
1000000,1000.0,3
1000000,1000.0,4
