step,reward,seed,ucb,lcb
0,104.39794387817383,0,203.2187295381371,5.577158218210556
100000,770.0735717773438,0,848.7601392908439,691.3870042638437
200000,875.470654296875,0,879.7186638057101,871.2226447880398
300000,877.8511596679688,0,882.5533588347536,873.148960501184
400000,877.14677734375,0,882.0649526727922,872.2286020147079
500000,874.392626953125,0,884.4197055525816,864.3655483536685
600000,878.9365112304688,0,881.2708982413417,876.6021242195959
700000,880.21181640625,0,881.5186560224946,878.9049767900054
800000,881.3367309570312,0,881.8156186215666,880.8578432924959
900000,874.2855224609375,0,880.1751761175367,868.3958688043383
1000000,878.20634765625,0,882.1456152631117,874.2670800493884
