step,reward,seed,ucb,lcb
0,8.405406951904297,0,10.747580569743445,6.063233334065149
100000,506.005029296875,0,608.754192809939,403.255865783811
200000,611.3686096191407,0,747.071791876875,475.6654273614064
300000,724.0940795898438,0,781.8486325665393,666.3395266131482
400000,791.8468383789062,0,837.8866484664154,745.807028291397
500000,823.96181640625,0,909.5134510652936,738.4101817472065
600000,819.2735961914062,0,889.3902293766536,749.1569630061589
700000,871.3728515625,0,928.9809942648859,813.7647088601142
800000,869.1002807617188,0,933.0219155837693,805.1786459396682
900000,880.8170654296875,0,918.9411155517702,842.6930153076049
1000000,892.61435546875,0,925.9768457467361,859.2518651907639
