step,reward,seed,ucb,lcb
0,74.13999938964844,0,159.22925250788356,-10.949253728586683
100000,938.9599975585937,0,1038.5051008136631,839.4148943035243
200000,980.9000122070313,0,984.7527617294262,977.0472626846364
300000,981.4400024414062,0,986.6268913181989,976.2531135646136
400000,984.0400024414063,0,987.7297310933551,980.3502737894574
500000,982.0199951171875,0,986.0222447202077,978.0177455141672
600000,980.560009765625,0,984.713633170421,976.406386360829
700000,980.1799926757812,0,982.8377446055407,977.5222407460218
800000,981.5200073242188,0,985.8565193587798,977.1834952896578
900000,982.5799926757812,0,984.0052765985708,981.1547087529916
1000000,982.6,0,985.7734205631855,979.4265794368146
