step,reward,seed,ucb,lcb
0,4.938652515411377,0,5.563308351634393,4.313996679188361
100000,35.071149063110354,0,65.14665251990066,4.99564560632005
200000,174.8733673095703,0,197.8386132093302,151.90812140981043
300000,256.0379211425781,0,287.90172855089673,224.1741137342595
400000,337.42445678710936,0,370.65709337454524,304.1918201996735
500000,418.2480041503906,0,459.6563324135473,376.8396758872339
600000,459.57000122070315,0,485.5793593903171,433.5606430510892
700000,500.6626342773437,0,535.0990522642016,466.2262162904858
800000,541.3011779785156,0,573.7491506096496,508.8532053473817
900000,558.6594604492187,0,584.2320484962875,533.08687240215
1000000,548.1367553710937,0,613.7371054580447,482.53640528414275
