step,reward,seed,ucb,lcb
0,20.142827606201173,0,22.262851146962177,18.02280406544017
100000,174.33847122192384,0,299.87445567046825,48.802486773379414
200000,780.231787109375,0,892.9644808108219,667.4990934079281
300000,909.840771484375,0,940.3102594177584,879.3712835509915
400000,887.0692749023438,0,973.7529512992755,800.385598505412
500000,922.088232421875,0,951.3797008801125,892.7967639636374
600000,956.5591186523437,0,984.7048918764627,928.4133454282247
700000,904.6948974609375,0,953.7129110689813,855.6768838528936
800000,928.0471435546875,0,972.1749970839924,883.9192900253827
900000,951.1333984375,0,971.4540187240206,930.8127781509794
1000000,963.9893798828125,0,982.6764293733634,945.3023303922616
