step,reward,seed,ucb,lcb
0,6.362477016448975,0,7.790801740235106,4.934152292662843
100000,50.65613441467285,0,78.18975047086755,23.122518358478146
200000,130.5706262588501,0,221.7921645515999,39.34908796610027
300000,339.38869323730466,0,463.48840688876936,215.28897958583997
400000,595.34697265625,0,659.7722105396433,530.9217347728568
500000,779.6317138671875,0,863.3990110977542,695.8644166366208
600000,873.7843872070313,0,899.4512032004218,848.1175712136408
700000,877.6055053710937,0,902.2920687391986,852.9189420029888
800000,911.9119750976563,0,919.1224241091231,904.7015260861895
900000,922.9093994140625,0,930.5314410158578,915.2873578122671
1000000,929.0982055664062,0,935.5976710092016,922.5987401236109
