step,reward,seed,ucb,lcb
0,7.655843830108642,0,9.509572272809285,5.802115387408
100000,67.94175033569336,0,88.14113273642069,47.742367934966026
200000,378.90919799804686,0,555.5994970862712,202.21889890982254
300000,703.3242919921875,0,805.3427772741795,601.3058067101954
400000,860.8555297851562,0,892.1321387618202,829.5789208084923
500000,904.7101440429688,0,919.4598945204643,889.9603935654732
600000,926.7967163085938,0,937.5865357564971,916.0068968606904
700000,916.4631469726562,0,939.1195980467677,893.8066958985447
800000,927.4787231445313,0,943.3517253647683,911.6057209242942
900000,933.7132934570312,0,946.7470040582302,920.6795828558322
1000000,931.6399658203125,0,944.2496536632809,919.030277977344
