step,reward,seed,ucb,lcb
0,201.74000244140626,0,315.2962062346586,88.18379864815394
100000,559.3400024414062,0,787.829047741505,330.8509571413075
200000,797.2199951171875,0,969.1416760979675,625.2983141364075
300000,834.7,0,905.335161635683,764.0648383643171
400000,879.4599975585937,0,993.8230851094344,765.0969100077531
500000,854.6800048828125,0,991.9590961287155,717.4009136369094
600000,858.6200073242187,0,900.7215677037699,816.5184469446675
700000,920.4800048828125,0,978.7756827707183,862.1843269949068
800000,957.5599853515625,0,1005.9868373758085,909.1331333273166
900000,915.9799926757812,0,1019.2639986691936,812.6959866823688
1000000,957.9200073242188,0,1007.7340598727976,908.1059547756399
