step,reward,seed,ucb,lcb
0,120.25999999046326,0,418.0985993539422,-177.57859937301566
100000,215.22000427246093,0,404.87826592938336,25.56174261553852
200000,752.9200073242188,0,1003.5390490675792,502.30096558085836
300000,844.5800048828125,0,1037.9255535960176,651.2344561696075
400000,873.1400024414063,0,944.7815579848323,801.4984468979803
500000,934.2000122070312,0,1003.0192940122356,865.3807304018269
600000,914.339990234375,0,1015.0699484799306,813.6100319888194
700000,934.1599975585938,0,1027.005420141052,841.3145749761356
800000,974.77998046875,0,983.9307665745978,965.6291943629021
900000,937.6,0,999.9289175598373,875.2710824401628
1000000,933.3599975585937,0,1032.541985946727,834.1780091704605
