step,reward,seed,ucb,lcb
0,79.47106628417968,0,90.81560641372992,68.12652615462945
100000,130.10796661376952,0,208.0135586952741,52.20237453226494
200000,268.84409484863284,0,387.29275397951926,150.3954357177464
300000,339.60682373046876,0,450.2680827449699,228.94556471596763
400000,457.94776611328126,0,553.9858618399504,361.9096703866121
500000,446.8846069335938,0,543.5683930922206,350.2008207749669
600000,615.7204650878906,0,764.6649007006617,466.77602947511946
700000,581.4832946777344,0,717.0036524743251,445.9629368811437
800000,658.8693176269531,0,776.3518295083777,541.3868057455286
900000,713.5281372070312,0,766.8754904368159,660.1807839772466
1000000,703.0461669921875,0,789.2694243202398,616.8229096641353
