step,reward,seed,ucb,lcb
0,0.015247253610141343,0,0.039170265563028266,-0.00867575834274558
100000,58.469820535182954,0,138.33297503895673,-21.39333396859083
200000,233.68749084472657,0,352.7151231039008,114.65985858555234
300000,340.5240539550781,0,391.6043942223252,289.443713687831
400000,397.3654541015625,0,532.3870507818885,262.3438574212364
500000,428.40284423828126,0,553.3758178012398,303.4298706753227
600000,460.78306274414064,0,618.4694562909245,303.09666919735673
700000,443.7458557128906,0,610.3163884871279,277.17532293865327
800000,475.1441284179688,0,647.4028207644064,302.8854360715311
900000,480.38740234375,0,652.4057142544921,308.3690904330079
1000000,485.3789489746094,0,660.6614214806494,310.09647646856934
