step,reward,seed,ucb,lcb
0,0.8371517539024353,0,0.9596782779203131,0.7146252298845576
100000,0.8613816380500794,0,0.9495016211702861,0.7732616549298726
200000,1.2679742097854614,0,1.4883259220613145,1.0476224975096082
300000,58.59360222816467,0,109.0662122644168,8.120992191912542
400000,130.1626770019531,0,154.51441978162222,105.810934222284
500000,187.0001678466797,0,217.86383044333218,156.1365052500272
600000,245.7894256591797,0,280.9900321826747,210.58881913568467
700000,318.91148071289064,0,372.82221372436794,265.00074770141333
800000,368.88206176757814,0,443.5917355981391,294.17238793701716
900000,404.250048828125,0,463.16110910011696,345.338988556133
1000000,428.8512390136719,0,474.00846467301017,383.6940133543336
