step,reward,seed,ucb,lcb
0,4.851631736755371,0,5.488700353282665,4.214563120228076
100000,5.597387599945068,0,6.048994824992661,5.145780374897475
200000,42.87005100250244,0,130.1493650940592,-44.4092630890543
300000,321.03862380981445,0,555.2455188640213,86.83172875560766
400000,703.3602294921875,0,863.1053069964701,543.6151519879049
500000,794.5372924804688,0,884.6361165817669,704.4384683791706
600000,878.0053588867188,0,939.2592703660132,816.7514474074244
700000,911.4607666015625,0,930.6697657655453,892.2517674375796
800000,925.5533569335937,0,932.287365795925,918.8193480712624
900000,928.4205932617188,0,939.3713632946319,917.4698232288056
1000000,930.9558837890625,0,945.680079518377,916.2316880597479
