step,reward,seed,ucb,lcb
0,2.3399999767541884,0,5.285231161069954,-0.6052312075615776
100000,794.7400146484375,0,828.1415202476792,761.3385090491959
200000,841.4,0,867.9719515699903,814.8280484300096
300000,839.139990234375,0,883.5614004901873,794.7185799785626
400000,854.660009765625,0,876.9084280893949,832.4115914418551
500000,845.1800048828125,0,866.9383024363493,823.4217073292756
600000,854.5400024414063,0,865.2280052190217,843.8519996637908
700000,847.1800048828125,0,872.0761920344042,822.2838177312207
800000,821.660009765625,0,837.1814327646993,806.1385867665507
900000,848.1800048828125,0,877.7089099503958,818.6510998152291
1000000,801.2799926757813,0,920.7846212417687,681.7753641097938
