step,reward,seed,ucb,lcb
0,163.1181213378906,0,253.71602602447956,72.52021665130165
100000,231.56109313964845,0,270.92513922468925,192.19704705460765
200000,578.9174194335938,0,720.7869039290672,437.04793493812025
300000,759.9792114257813,0,820.9038262910494,699.0545965605131
400000,867.238232421875,0,901.3883117656609,833.088153078089
500000,903.718310546875,0,924.7467063469063,882.6899147468438
600000,923.2948852539063,0,941.5247459365987,905.0650245712138
700000,923.9042358398438,0,938.8887796457201,908.9196920339674
800000,931.0113647460937,0,945.1938440774304,916.828885414757
900000,932.5284790039062,0,947.8169893241893,917.2399686836231
1000000,932.398095703125,0,948.8657039890087,915.9304874172414
