step,reward,seed,ucb,lcb
0,158.95460891723633,0,247.8882310156789,70.02098681879373
100000,342.58282165527345,0,449.0922329077187,236.0734104028282
200000,732.8180786132813,0,1024.0309222599858,441.60523496657686
300000,874.7445434570312,0,1015.0737082638581,734.4153786502044
400000,934.681640625,0,957.9886462598616,911.3746349901384
500000,943.2328491210938,0,962.8843131025133,923.5813851396742
600000,928.4235107421875,0,964.0363951191669,892.8106263652082
700000,940.590576171875,0,952.8813746913346,928.2997776524154
800000,930.4821044921875,0,979.2687729213995,881.6954360629755
900000,949.0058227539063,0,963.4815374231316,934.5301080846809
1000000,951.102099609375,0,971.1359712209356,931.0682279978145
