step,reward,seed,ucb,lcb
0,22.90187301635742,0,25.84714215258784,19.956603880127002
100000,751.2047607421875,0,761.9114841388717,740.4980373455033
200000,809.1369018554688,0,818.857342609882,799.4164611010555
300000,826.6860473632812,0,834.0828670616194,819.289227664943
400000,834.525146484375,0,841.5945069503208,827.4557860184292
500000,839.4159545898438,0,847.8301797206576,831.0017294590299
600000,847.8567016601562,0,852.8011562281949,842.9122470921175
700000,848.3263549804688,0,856.0979408725666,840.5547690883709
800000,854.8250854492187,0,860.7686070253574,848.88156387308
900000,853.7523803710938,0,863.789255160773,843.7155055814145
1000000,856.8135375976562,0,859.8910880188247,853.7359871764878
