step,reward,seed,ucb,lcb
0,120.51310577392579,0,134.91015520090966,106.1160563469419
100000,976.3588012695312,0,986.831104873095,965.8864976659675
200000,980.6401489257812,0,987.5671808739588,973.7131169776036
300000,986.8020385742187,0,989.2631334544027,984.3409436940348
400000,989.1369262695313,0,992.7155388222639,985.5583137167987
500000,991.2710327148437,0,993.713492431541,988.8285729981465
600000,986.878955078125,0,996.3881030082406,977.3698071480095
700000,991.73837890625,0,995.3537552431404,988.1230025693595
800000,993.5971313476563,0,996.2378613477482,990.9564013475643
900000,988.2974609375,0,995.8796772938249,980.715244581175
1000000,991.5391845703125,0,994.8303861849997,988.2479829556253
