step,reward,seed,ucb,lcb
0,31.175080871582033,0,35.96931353526773,26.38084820789634
100000,961.88359375,0,973.6601485984771,950.107038901523
200000,973.2187377929688,0,980.2677014370888,966.1697741488488
300000,977.147314453125,0,985.6702287860189,968.624400120231
400000,975.8934936523438,0,986.5076207953699,965.2793665093176
500000,977.778515625,0,982.0156266292622,973.5414046207377
600000,980.4967895507813,0,984.0915152369938,976.9020638645687
700000,978.681494140625,0,990.4560791703123,966.9069091109377
800000,983.9396362304688,0,986.9420523416632,980.9372201192743
900000,978.9510498046875,0,981.0672723427941,976.8348272665809
1000000,981.8746826171875,0,987.1897049510471,976.559660283328
