step,reward,seed
0,314.9595642089844,0
50000,212.2609405517578,0
100000,247.681640625,0
150000,376.5818176269531,0
200000,636.4166870117188,0
250000,651.8841552734375,0
300000,596.1494140625,0
350000,783.3670654296875,0
400000,787.8023681640625,0
450000,774.5601806640625,0
500000,804.986572265625,0
550000,809.977294921875,0
600000,844.3014526367188,0
650000,843.8248901367188,0
700000,858.4088745117188,0
750000,888.9098510742188,0
800000,790.8912353515625,0
850000,921.5442504882812,0
900000,938.7986450195312,0
950000,929.3981323242188,0
1000000,878.06982421875,0
1050000,934.8333129882812,0
1100000,949.8884887695312,0
1150000,938.681640625,0
1200000,943.0578002929688,0
1250000,977.5569458007812,0
1300000,968.8258056640624,0
1350000,967.06689453125,0
1400000,967.0767822265624,0
1450000,982.0924072265624,0
1500000,982.0325317382812,0
1550000,978.4758911132812,0
1600000,980.89111328125,0
1650000,921.1910400390624,0
1700000,954.6002197265624,0
1750000,966.5755004882812,0
1800000,965.4108276367188,0
1850000,952.1068115234376,0
1900000,965.8203125,0
1950000,967.2908325195312,0
2000000,972.6285400390624,0
0,322.1793212890625,1
50000,276.54595947265625,1
100000,281.6893005371094,1
150000,293.7303771972656,1
200000,378.5339965820313,1
250000,414.35491943359375,1
300000,500.3740234375,1
350000,565.47021484375,1
400000,577.2454833984375,1
450000,664.9105224609375,1
500000,642.4320678710938,1
550000,755.7285766601562,1
600000,804.3929443359375,1
650000,773.1815795898438,1
700000,816.6715087890625,1
750000,806.2960205078125,1
800000,762.8427734375,1
850000,854.2083129882812,1
900000,849.2018432617188,1
950000,891.9005126953125,1
1000000,903.1188354492188,1
1050000,940.3719482421876,1
1100000,940.7645263671876,1
1150000,948.7037353515624,1
1200000,968.2669067382812,1
1250000,947.5196533203124,1
1300000,967.111328125,1
1350000,978.947265625,1
1400000,978.1845703125,1
1450000,978.5921630859376,1
1500000,977.1734619140624,1
1550000,969.9539184570312,1
1600000,983.21240234375,1
1650000,981.2092895507812,1
1700000,951.6605224609376,1
1750000,952.2266845703124,1
1800000,945.5211791992188,1
