step,reward,seed
0,23.13268280029297,0
50003,63.7413215637207,0
100102,81.79768371582031,0
150650,314.76910400390625,0
200288,286.1325988769531,0
250001,255.3538818359375,0
300903,550.8309326171875,0
350766,514.85546875,0
400249,329.169677734375,0
450118,405.51849365234375,0
500349,668.13134765625,0
550389,542.8112182617188,0
600762,681.0498046875,0
650730,482.8370971679688,0
700258,421.9319458007813,0
750649,533.8785400390625,0
800209,523.760986328125,0
850122,659.0554809570312,0
900345,552.1528930664062,0
950981,766.7095336914062,0
1000101,505.71685791015625,0
1050789,337.4180603027344,0
1100171,605.3728637695312,0
1150643,618.0926513671875,0
1200000,602.1951904296875,0
1250735,669.447265625,0
1300348,607.0185546875,0
1350549,467.69525146484375,0
1400344,632.5194091796875,0
1450723,601.718505859375,0
1500809,546.2925415039062,0
1550284,530.5340576171875,0
1600193,539.4451904296875,0
1650328,829.0303955078125,0
1700842,580.307861328125,0
1750642,718.007080078125,0
1800220,840.3103637695312,0
1850867,721.0872192382812,0
1900310,575.77001953125,0
1950415,772.1591186523438,0
0,18.335981369018555,1
50017,45.58583450317383,1
100177,79.0073471069336,1
150118,142.0373992919922,1
200409,522.9244384765625,1
250259,234.2593688964844,1
300054,366.0222473144531,1
350362,642.5406494140625,1
400951,551.2694091796875,1
450299,526.6395263671875,1
500076,703.8272094726562,1
550941,407.1317138671875,1
600986,498.7388305664063,1
650025,757.6145629882812,1
700514,476.5355529785156,1
750155,490.0570373535156,1
800429,542.0916137695312,1
850130,689.5476684570312,1
900880,672.7726440429688,1
950922,735.8771362304688,1
1000417,498.6937561035156,1
1050303,503.75286865234375,1
1100107,626.3738403320312,1
1150265,646.5978393554688,1
1200846,762.1908569335938,1
1250107,704.0983276367188,1
1300315,697.4052734375,1
1350689,719.8427124023438,1
1400208,720.3009033203125,1
1450640,795.7357177734375,1
1500455,489.9072265625,1
1550883,721.0826416015625,1
1600946,796.231201171875,1
1650014,596.2611083984375,1
1700613,814.0843505859375,1
1750738,617.0926513671875,1
1800238,674.2879638671875,1
1850200,572.365234375,1
1900488,718.034423828125,1
1950468,488.7323303222656,1
0,17.860639572143555,2
50035,37.722164154052734,2
100080,70.33209228515625,2
150028,92.18299865722656,2
200024,120.07293701171876,2
250454,316.3387756347656,2
300366,437.3290100097656,2
350165,530.8981323242188,2
400404,603.0299072265625,2
450829,567.8114013671875,2
500593,628.6270141601562,2
550219,488.6968688964844,2
600588,506.8372192382813,2
650087,400.7627868652344,2
700601,750.6905517578125,2
750464,638.7213134765625,2
800104,585.0369873046875,2
850637,485.49755859375,2
900470,376.48681640625,2
950694,433.3706665039063,2
1000365,750.1349487304688,2
1050869,599.7296142578125,2
1100855,626.26416015625,2
1150689,636.273681640625,2
1200072,666.684814453125,2
1250313,665.31298828125,2
1300897,675.7291870117188,2
1350126,375.39495849609375,2
1400296,776.0108032226562,2
1450805,677.4530029296875,2
1500012,742.6563720703125,2
1550706,810.6303100585938,2
1600231,804.4968872070312,2
1650689,803.9906005859375,2
1700241,838.8502807617188,2
1750262,843.9373779296875,2
1800071,847.42822265625,2
1850917,852.79736328125,2
1900319,833.0189208984375,2
1950125,685.6477661132812,2
0,27.685571670532227,3
50062,30.27216148376465,3
100066,74.71941375732422,3
150008,332.61651611328125,3
200146,64.34788513183594,3
250003,72.05174255371094,3
300042,462.3523559570313,3
350115,331.694091796875,3
400110,567.1898803710938,3
450095,554.7959594726562,3
500112,612.6124267578125,3
550078,635.4539184570312,3
600219,678.8217163085938,3
650075,681.6705932617188,3
700005,492.3603515625,3
750533,752.8890380859375,3
800382,430.8287658691406,3
850044,559.1126708984375,3
900418,687.0798950195312,3
950259,699.7620849609375,3
1000948,707.82470703125,3
1050075,752.6468505859375,3
1100670,723.7202758789062,3
1150890,610.9795532226562,3
1200311,440.2019653320313,3
1250202,696.3323364257812,3
1300767,529.8812255859375,3
1350382,633.307373046875,3
1400487,393.1843872070313,3
1450394,590.1245727539062,3
1500488,775.908447265625,3
1550270,718.5982055664062,3
1600722,625.1342163085938,3
1650046,758.9916381835938,3
1700213,836.2550659179688,3
1750753,846.28759765625,3
1800519,801.4559326171875,3
1850292,851.8004760742188,3
1900027,714.6399536132812,3
1950659,852.806640625,3
0,20.43230628967285,4
50020,43.60161972045898,4
100212,47.17350006103516,4
150474,167.02230834960938,4
200188,180.41796875,4
250024,159.44752502441406,4
300013,184.8505859375,4
350491,103.4966278076172,4
400459,709.828369140625,4
450238,276.9611511230469,4
500424,762.7166137695312,4
550611,601.7965087890625,4
600960,520.7232666015625,4
650901,628.9763793945312,4
700251,520.283203125,4
750516,271.33721923828125,4
800591,594.3583374023438,4
850249,448.401611328125,4
900571,637.3269653320312,4
950596,573.4818115234375,4
1000092,566.4913330078125,4
1050763,758.4288330078125,4
1100367,638.0916748046875,4
1150497,655.135009765625,4
1200056,675.0535278320312,4
1250676,332.66168212890625,4
1300037,538.4505615234375,4
1350109,653.9024658203125,4
1400696,437.3038024902344,4
1450306,458.3247680664063,4
1500400,689.7510375976562,4
1550951,654.6724853515625,4
1600725,667.7718505859375,4
1650257,666.86328125,4
1700132,824.4763793945312,4
1750332,568.8270263671875,4
1800521,655.9080810546875,4
1850593,769.855712890625,4
1900062,687.8784790039062,4
1950592,489.9525451660156,4
0,29.0932674407959,5
50008,33.25648880004883,5
100081,61.18996047973633,5
150081,61.74468231201172,5
200106,88.74020385742188,5
250044,120.08174896240234,5
300140,100.4006118774414,5
350132,104.594482421875,5
400075,150.71957397460938,5
450087,116.3503646850586,5
500047,131.05587768554688,5
550078,92.93851470947266,5
600019,33.38359832763672,5
650095,151.328857421875,5
