step,reward,seed
0,-335.30975341796875,0
50000,-28.73598861694336,0
100000,2.484610080718994,0
150000,79.48123168945312,0
200000,779.3536987304688,0
250000,1347.144287109375,0
300000,1838.173583984375,0
350000,1780.512451171875,0
400000,1894.641357421875,0
450000,2303.17578125,0
500000,2774.622314453125,0
550000,2686.091796875,0
600000,2626.88232421875,0
650000,2401.11181640625,0
700000,2910.791748046875,0
750000,3216.468017578125,0
800000,3331.71533203125,0
850000,3795.82666015625,0
900000,3702.02880859375,0
950000,3019.098388671875,0
1000000,2816.86865234375,0
1050000,3840.99267578125,0
1100000,4007.143310546875,0
1150000,3309.942626953125,0
1200000,3486.45068359375,0
1250000,4933.23095703125,0
1300000,4173.3642578125,0
1350000,4999.427734375,0
1400000,5397.0302734375,0
1450000,4081.47802734375,0
1500000,5845.0,0
1550000,5436.29296875,0
1600000,5010.4658203125,0
1650000,5419.1748046875,0
1700000,5591.2294921875,0
1750000,4626.193359375,0
1800000,5307.8291015625,0
1850000,5262.2880859375,0
1900000,4807.83447265625,0
1950000,4703.2939453125,0
2000000,5129.83203125,0
0,-290.95147705078125,1
50000,233.10867309570312,1
100000,810.7776489257812,1
150000,790.4117431640625,1
200000,1611.06884765625,1
250000,2079.19287109375,1
300000,1780.877197265625,1
350000,1448.71484375,1
400000,2229.645263671875,1
450000,2970.07568359375,1
500000,1805.388671875,1
550000,2797.86669921875,1
600000,3632.99072265625,1
650000,4005.86376953125,1
700000,3573.518798828125,1
750000,3194.891845703125,1
800000,3757.364013671875,1
850000,4529.6904296875,1
900000,4167.18310546875,1
950000,4245.154296875,1
1000000,5064.2041015625,1
1050000,4695.48681640625,1
1100000,5089.626953125,1
1150000,5147.13525390625,1
1200000,5930.90673828125,1
1250000,4656.17529296875,1
1300000,4340.89794921875,1
1350000,5125.3193359375,1
1400000,5285.1279296875,1
1450000,5742.66259765625,1
1500000,5112.796875,1
1550000,5629.41455078125,1
1600000,5544.4599609375,1
1650000,4404.302734375,1
1700000,4913.375,1
1750000,5408.9921875,1
1800000,4896.3525390625,1
1850000,5689.28857421875,1
1900000,5723.140625,1
1950000,5559.0537109375,1
2000000,6103.02587890625,1
0,82.6524429321289,2
50000,253.0619354248047,2
100000,167.6123809814453,2
150000,874.2434692382812,2
200000,376.1415100097656,2
250000,803.8370361328125,2
300000,1490.9886474609375,2
350000,2135.20458984375,2
400000,2251.71484375,2
450000,2396.7119140625,2
500000,2081.630859375,2
550000,2027.322265625,2
600000,2821.452392578125,2
650000,2728.013671875,2
700000,2867.21923828125,2
750000,3227.30029296875,2
800000,3938.22412109375,2
850000,4144.08544921875,2
900000,4404.2626953125,2
950000,4147.7255859375,2
1000000,4365.3212890625,2
1050000,4186.7529296875,2
1100000,4331.2412109375,2
1150000,4830.7900390625,2
1200000,5304.0712890625,2
1250000,4588.55810546875,2
1300000,5131.625,2
1350000,5373.7587890625,2
1400000,4202.6201171875,2
1450000,5015.5517578125,2
1500000,4487.98876953125,2
1550000,5775.970703125,2
1600000,5389.736328125,2
1650000,5856.9072265625,2
1700000,6038.2177734375,2
1750000,5317.90234375,2
1800000,6316.76806640625,2
1850000,5865.1318359375,2
1900000,5996.54052734375,2
1950000,6754.4375,2
2000000,5639.9150390625,2
0,-163.50753784179688,3
50000,337.5736083984375,3
100000,737.0719604492188,3
150000,515.9039306640625,3
200000,1230.802490234375,3
250000,1434.7677001953125,3
300000,1097.698974609375,3
350000,1470.7288818359375,3
400000,1259.0064697265625,3
450000,2210.294189453125,3
500000,2224.7880859375,3
550000,2091.65673828125,3
600000,2489.17578125,3
650000,2390.029052734375,3
700000,2865.96044921875,3
750000,3172.246826171875,3
800000,2540.749267578125,3
850000,2862.505859375,3
900000,3699.8984375,3
950000,3189.74267578125,3
1000000,4106.0517578125,3
1050000,3820.52490234375,3
1100000,3813.485595703125,3
1150000,2866.838623046875,3
1200000,3640.20166015625,3
1250000,4973.78076171875,3
1300000,5308.9619140625,3
1350000,4257.13623046875,3
1400000,4805.77587890625,3
1450000,4783.1396484375,3
1500000,5433.9482421875,3
1550000,5003.3935546875,3
1600000,4332.6015625,3
1650000,4502.66943359375,3
1700000,4948.9677734375,3
1750000,3938.674560546875,3
1800000,5352.22216796875,3
1850000,5149.6064453125,3
1900000,5892.25537109375,3
1950000,4769.6416015625,3
2000000,4676.7587890625,3
0,-335.686279296875,4
50000,133.94949340820312,4
100000,564.6781005859375,4
150000,328.6522827148437,4
200000,1287.5076904296875,4
250000,766.6725463867188,4
300000,918.6843872070312,4
350000,1374.905029296875,4
400000,1834.0084228515625,4
450000,1890.674560546875,4
500000,2390.11083984375,4
550000,2675.78515625,4
600000,2658.152099609375,4
650000,2514.59912109375,4
700000,2867.6669921875,4
750000,3063.9775390625,4
800000,3196.59423828125,4
850000,3765.975830078125,4
900000,3881.624267578125,4
950000,3586.42236328125,4
1000000,3905.783203125,4
1050000,3521.667236328125,4
1100000,4272.9072265625,4
1150000,4457.63232421875,4
1200000,5752.60595703125,4
1250000,4632.27685546875,4
1300000,5130.85693359375,4
1350000,4962.97265625,4
1400000,4200.41748046875,4
1450000,4869.2353515625,4
1500000,5375.1474609375,4
1550000,5296.892578125,4
1600000,6048.90234375,4
1650000,4740.5751953125,4
1700000,4689.95263671875,4
1750000,5787.86962890625,4
1800000,4918.708984375,4
1850000,5125.0380859375,4
1900000,5480.337890625,4
1950000,6641.6083984375,4
2000000,4842.0986328125,4
0,407.8460083007813,5
50000,684.3880615234375,5
100000,1267.7630615234375,5
150000,851.19921875,5
200000,1595.8428955078125,5
250000,2055.26416015625,5
300000,2418.00927734375,5
350000,2451.242431640625,5
400000,2497.61962890625,5
450000,3403.54833984375,5
500000,2294.045166015625,5
550000,2532.310546875,5
600000,4361.048828125,5
650000,4065.267578125,5
700000,3799.32373046875,5
750000,4223.4462890625,5
800000,4022.18310546875,5
850000,3479.699951171875,5
900000,3731.50732421875,5
950000,4215.1708984375,5
1000000,3529.330078125,5
1050000,6524.5400390625,5
1100000,4580.45947265625,5
1150000,3890.75244140625,5
1200000,6666.2919921875,5
1250000,5945.6787109375,5
1300000,4473.3759765625,5
1350000,5939.2685546875,5
1400000,3898.322265625,5
1450000,4592.9189453125,5
1500000,5934.427734375,5
1550000,4725.82958984375,5
1600000,5871.525390625,5
1650000,6191.60107421875,5
1700000,5636.4892578125,5
1750000,5669.43798828125,5
1800000,6436.64892578125,5
1850000,6360.9443359375,5
1900000,3994.845703125,5
1950000,6883.5205078125,5
2000000,6151.65478515625,5
0,164.8048553466797,6
50000,79.70950317382812,6
100000,277.9003601074219,6
150000,1539.1199951171875,6
200000,1788.8258056640625,6
250000,1867.835693359375,6
300000,2227.726318359375,6
350000,3030.97412109375,6
400000,2241.875,6
450000,2803.80029296875,6
500000,3344.21923828125,6
550000,2658.8505859375,6
600000,4682.0390625,6
650000,3784.842529296875,6
700000,3007.558349609375,6
750000,3992.845703125,6
800000,5355.2119140625,6
850000,5252.01953125,6
900000,4460.1943359375,6
950000,3759.884033203125,6
1000000,4484.1142578125,6
1050000,6839.7890625,6
1100000,6419.43994140625,6
1150000,4484.44189453125,6
1200000,5406.923828125,6
1250000,5857.55224609375,6
1300000,5862.39208984375,6
1350000,7599.7783203125,6
1400000,4740.0849609375,6
1450000,5758.5517578125,6
1500000,6046.4990234375,6
1550000,6084.619140625,6
1600000,6348.23876953125,6
1650000,6423.18212890625,6
1700000,6910.8740234375,6
1750000,8590.0341796875,6
1800000,7450.17578125,6
1850000,6352.45068359375,6
1900000,7129.7177734375,6
1950000,8025.14990234375,6
2000000,7547.4150390625,6
0,-342.6713562011719,7
50000,291.3999938964844,7
100000,1246.440673828125,7
150000,1174.49609375,7
200000,1340.355224609375,7
250000,1488.2464599609375,7
300000,1708.152099609375,7
350000,3006.004638671875,7
400000,1745.778076171875,7
450000,2317.729736328125,7
500000,2682.369384765625,7
550000,2913.951416015625,7
600000,2382.673828125,7
650000,2591.541259765625,7
700000,3629.658935546875,7
750000,3356.212890625,7
800000,4570.01708984375,7
850000,5267.72607421875,7
900000,3749.28955078125,7
950000,3241.46533203125,7
1000000,6296.125,7
1050000,5167.5771484375,7
1100000,6036.27197265625,7
1150000,5090.89453125,7
1200000,5561.68359375,7
1250000,6689.6669921875,7
1300000,6731.8515625,7
1350000,5802.64501953125,7
1400000,6867.5546875,7
1450000,6269.69775390625,7
1500000,6733.72802734375,7
1550000,6864.1982421875,7
1600000,6920.38818359375,7
1650000,7510.3740234375,7
1700000,7868.35791015625,7
1750000,6283.22021484375,7
1800000,6969.57958984375,7
1850000,6583.7890625,7
1900000,7984.67578125,7
1950000,7494.78369140625,7
2000000,6702.74755859375,7
0,176.71572875976562,8
50000,613.83544921875,8
100000,972.3980712890624,8
150000,1111.3863525390625,8
200000,1199.5621337890625,8
250000,1879.424072265625,8
300000,1997.28125,8
350000,2693.112548828125,8
400000,2596.90087890625,8
450000,2679.761962890625,8
500000,2431.569091796875,8
550000,3500.93896484375,8
600000,4564.30078125,8
650000,3000.0673828125,8
700000,3046.248779296875,8
750000,3711.21875,8
800000,3754.464111328125,8
850000,3091.5810546875,8
900000,3401.02978515625,8
950000,4109.6767578125,8
1000000,4906.9169921875,8
1050000,6561.8916015625,8
1100000,5009.09619140625,8
1150000,2602.3603515625,8
1200000,4795.3271484375,8
1250000,5715.65771484375,8
1300000,3546.77978515625,8
1350000,3897.801513671875,8
1400000,3558.69970703125,8
1450000,6791.19775390625,8
1500000,4921.96044921875,8
1550000,5570.5810546875,8
1600000,6071.33447265625,8
1650000,5478.40869140625,8
1700000,6382.1923828125,8
1750000,6557.81103515625,8
1800000,5935.69482421875,8
1850000,6108.37109375,8
1900000,7291.8095703125,8
1950000,6124.73046875,8
2000000,7571.52587890625,8
0,247.2615509033203,9
50000,582.2476806640625,9
100000,1227.131103515625,9
150000,1276.215576171875,9
200000,795.12109375,9
250000,1233.4515380859375,9
300000,1668.622802734375,9
350000,1173.696533203125,9
400000,3377.15771484375,9
450000,1935.7047119140625,9
500000,2668.7734375,9
550000,2256.09130859375,9
600000,2404.582763671875,9
650000,2339.82275390625,9
700000,3354.35107421875,9
750000,3628.119873046875,9
800000,3906.8515625,9
850000,2844.4111328125,9
900000,4123.0224609375,9
950000,5276.4970703125,9
1000000,4849.69873046875,9
1050000,5114.8251953125,9
1100000,4297.36181640625,9
1150000,5620.75732421875,9
1200000,4067.74072265625,9
1250000,5290.89990234375,9
1300000,6901.1904296875,9
1350000,6524.607421875,9
1400000,5628.1689453125,9
1450000,6507.1318359375,9
1500000,7152.75146484375,9
1550000,7277.0810546875,9
1600000,6583.8095703125,9
1650000,7314.97412109375,9
1700000,6165.2919921875,9
1750000,6039.53271484375,9
1800000,7110.7177734375,9
1850000,6225.58203125,9
1900000,6373.5283203125,9
1950000,8312.763671875,9
2000000,7370.0078125,9
