step,reward,seed
200,44.1,0
5900,846.3,0
10800,791.6,0
15800,949.5,0
20800,867.2,0
25800,911.3,0
30800,926.0,0
35800,890.5,0
40800,928.8,0
45800,949.9,0
50800,971.2,0
55800,975.6,0
60800,957.4,0
65800,978.1,0
70800,971.5,0
75800,972.9,0
80800,982.4,0
85800,971.8,0
90800,970.6,0
95800,979.0,0
100800,971.7,0
105800,971.0,0
110800,977.2,0
115800,975.2,0
200,4.7,1
5900,526.1,1
10800,862.9,1
15800,928.3,1
20800,931.7,1
25800,947.2,1
30800,969.2,1
35800,962.6,1
40800,959.9,1
45800,973.3,1
50800,969.8,1
55800,960.5,1
60800,976.3,1
65800,979.0,1
70800,974.3,1
75800,970.7,1
80800,977.0,1
85800,965.6,1
90800,969.1,1
95800,982.7,1
100800,976.3,1
105800,981.4,1
110800,982.0,1
115800,976.2,1
300,52.3,2
5900,667.4,2
10800,772.2,2
15800,920.3,2
20900,929.8,2
25800,889.4,2
30800,956.4,2
35800,956.7,2
40800,947.5,2
45900,966.8,2
50900,904.0,2
55900,975.6,2
60800,970.9,2
65800,975.9,2
70800,977.4,2
75800,975.4,2
80800,975.4,2
85800,974.9,2
90900,971.4,2
95900,980.7,2
100800,966.4,2
105800,974.6,2
110800,970.1,2
115800,973.4,2
