step,reward,seed
200,44.1,0
6000,144.8,0
10900,112.7,0
15900,889.1,0
20900,969.6,0
25900,966.6,0
30900,996.4,0
35900,962.5,0
40900,909.3,0
45900,1000.0,0
50900,999.1,0
55900,995.2,0
60900,919.5,0
65900,1000.0,0
70900,997.1,0
75900,1000.0,0
80900,1000.0,0
85900,1000.0,0
90900,1000.0,0
95900,1000.0,0
100900,1000.0,0
105900,998.3,0
110900,999.7,0
115900,999.8,0
200,44.1,1
5900,464.8,1
10900,453.3,1
15900,896.5,1
20900,997.0,1
25900,997.3,1
30900,911.8,1
35900,998.4,1
40900,998.9,1
45900,995.0,1
50900,994.8,1
55900,917.8,1
60900,997.7,1
65900,996.5,1
70900,998.4,1
75900,999.2,1
80900,1000.0,1
85900,999.1,1
90900,998.7,1
95900,995.4,1
100800,998.5,1
105800,999.4,1
110800,1000.0,1
115800,997.3,1
200,31.1,2
5900,753.4,2
10900,226.7,2
15900,1000.0,2
20900,1000.0,2
25800,998.2,2
30800,1000.0,2
35800,998.3,2
40900,998.7,2
45900,1000.0,2
50900,999.4,2
55900,1000.0,2
60900,999.1,2
65900,1000.0,2
70900,1000.0,2
75900,997.0,2
80900,998.2,2
86000,1000.0,2
90900,999.7,2
95900,1000.0,2
100900,957.2,2
105900,913.6,2
110900,1000.0,2
115800,998.7,2
