step,reward,seed
200,281.11429512333063,0
5900,472.51221384074523,0
10900,648.8286851788496,0
15800,808.5487384734919,0
20800,793.5763337802669,0
25900,924.8970811757179,0
30800,916.9409161348146,0
35800,922.7768590707661,0
40900,926.5586016209606,0
45900,916.7816465659265,0
50800,824.698372921587,0
55900,922.0514056590866,0
60800,914.2918630334156,0
65900,887.7611004612851,0
70900,921.2062842980633,0
75800,929.5227517554583,0
80800,925.7972328870853,0
85800,925.6166267537565,0
90800,923.7204563033258,0
95800,919.8623858229582,0
100800,928.8610741862396,0
105800,915.7735211939231,0
110800,937.5021358717971,0
115800,930.1739917302615,0
200,273.66281281293334,1
5900,457.34961951286334,1
10900,567.9706032378037,1
15900,705.7481242111189,1
20900,768.3986152663783,1
25900,848.59840952521,1
30900,903.3566266157313,1
35900,933.0571483431265,1
40900,935.4833065763285,1
45800,921.7444705236821,1
50900,936.1834778466928,1
55900,925.342613265601,1
60800,931.6573084249106,1
65800,928.0876962492332,1
70900,935.8199309197504,1
75900,937.7436439865138,1
80900,929.000837692009,1
85800,936.9200286566935,1
90900,937.509999612945,1
95900,935.1619261414744,1
100800,942.9511746074188,1
105800,949.4300626998095,1
110800,943.2266895833598,1
115800,947.6348232019475,1
200,277.3277409964106,2
6000,487.670493756048,2
10900,465.842730088273,2
15900,548.5816389108106,2
20900,885.2699111469067,2
25900,819.7005460773786,2
30900,914.7102802624995,2
35900,933.8382051846969,2
40900,937.5226982905148,2
45900,920.7787093546915,2
50900,944.7817483280478,2
55900,928.6650050851607,2
60900,922.4282793190317,2
65900,924.0947997428426,2
70900,933.8454636973596,2
75900,937.5081504324893,2
80900,930.2816864457734,2
85900,934.0729918239319,2
90900,943.3125486650472,2
95900,944.1235913320031,2
100900,943.9435842660125,2
105800,944.6652218361376,2
110800,933.628555758899,2
115800,940.6131304021371,2
