step,reward,seed
200,0.0,0
5900,0.0,0
10900,2.5,0
15900,27.2,0
20900,15.0,0
25900,17.5,0
30900,55.0,0
35900,111.4,0
40900,0.4,0
45900,148.1,0
50900,197.9,0
55900,245.0,0
60900,303.1,0
65900,325.8,0
70900,774.8,0
75900,781.9,0
80900,728.9,0
85900,765.7,0
90900,698.4,0
95900,550.4,0
100800,750.4,0
105900,781.4,0
110800,766.5,0
115800,766.9,0
300,0.0,1
5800,0.0,1
10800,0.0,1
15800,0.0,1
20800,9.8,1
25800,32.6,1
30800,35.8,1
35800,18.1,1
40800,71.2,1
45800,361.7,1
50800,325.8,1
55800,683.7,1
60800,208.5,1
65800,776.4,1
70800,749.1,1
75800,419.7,1
80800,792.5,1
85800,808.1,1
90800,796.1,1
95900,775.5,1
100800,810.0,1
105800,794.4,1
110800,810.8,1
115900,790.0,1
200,0.0,2
5900,0.0,2
10800,0.0,2
15800,0.3,2
20800,74.4,2
25800,115.8,2
30800,193.9,2
35800,174.3,2
40800,240.3,2
45800,300.3,2
50800,256.3,2
55800,296.1,2
60800,319.0,2
65800,741.7,2
70800,661.4,2
75800,792.4,2
80800,808.1,2
85800,792.1,2
90800,449.8,2
95800,811.3,2
100800,815.2,2
105800,812.3,2
110800,822.8,2
115800,813.8,2
