step,reward,seed
200,83.50171772242771,0
5900,311.04788740706704,0
10800,458.4528828345084,0
15800,524.847635514672,0
20800,571.4536653582088,0
25800,725.7826479665162,0
30800,462.59034049213403,0
35800,748.6606886245883,0
40800,744.4738144437484,0
45800,719.261891929092,0
50800,710.1571905675577,0
55800,731.8419657264552,0
60800,726.6263469793746,0
65800,744.0866185576182,0
70800,767.6995038261334,0
75800,763.2614617923207,0
80800,760.1112970104373,0
85800,757.3572524454356,0
90800,766.3065648051996,0
95800,757.8269626293086,0
100800,782.3811582510931,0
105800,769.4704371144123,0
110800,761.2830137522626,0
115800,762.2369733330505,0
300,95.05684879654957,1
5900,224.20181520956038,1
10900,318.66628144920867,1
15900,652.7233704968492,1
20900,827.8760213824169,1
25800,815.9255669261289,1
30900,792.5892154203113,1
35900,807.6980640848216,1
40900,684.3885327976905,1
45800,764.3088308042215,1
50800,805.1565935583885,1
55900,792.7003501147517,1
60800,801.2004943165264,1
65900,801.763193720706,1
70800,787.8852799095049,1
75900,786.7831704083628,1
80800,794.4203325415182,1
85800,781.0144770655522,1
90900,795.7366183916248,1
95900,797.1693166767761,1
100800,757.5265206856379,1
105800,800.2866573814068,1
110800,807.0142713991823,1
115800,807.2823709958363,1
200,107.77997647013134,2
5900,267.5494804036756,2
10800,343.89514708253154,2
15800,426.42052181231765,2
20800,626.8372234062914,2
25800,704.9036463334676,2
30800,544.0917679908442,2
35800,835.6210006141475,2
40800,790.7312879460385,2
45800,836.0969684021418,2
50800,839.8013427229828,2
55800,833.4243458861229,2
60800,834.4028850749849,2
65800,832.0657213424029,2
70800,835.1307168897908,2
75800,830.3158294510419,2
80800,821.4772512558545,2
85800,812.1848791782918,2
90800,816.8862708065406,2
95800,814.1165966981064,2
100800,794.3261826618339,2
105800,823.7599146566075,2
110800,821.8330152043521,2
115800,818.934309544891,2
