step,reward,seed
200,7.965629961553878,0
5900,137.21315233719696,0
10800,168.69162584623263,0
15800,289.5522480725857,0
20800,352.9309116264477,0
25800,397.4849202582851,0
30800,416.78535723331805,0
35800,509.6973031088546,0
40800,539.0820704900674,0
45800,563.7206107145164,0
50800,545.8798628212965,0
55800,584.291043471767,0
60800,629.2727584772904,0
65800,598.273150663592,0
70800,608.2296994038895,0
75800,595.6907187710829,0
80800,642.3137879242036,0
85800,640.2830988236225,0
90800,637.8872230530676,0
95800,662.4510541134271,0
100800,660.211711147764,0
105800,675.3090817589278,0
110800,684.7361510375715,0
115800,672.8693240882191,0
200,7.932166648086335,1
5800,126.85604533682485,1
10800,134.53624914144376,1
15800,350.59418757127804,1
20800,365.7158146403764,1
25800,422.90156206447216,1
30800,429.00594628242754,1
35800,415.90115737404847,1
40800,470.9835911753788,1
45800,468.08080170278333,1
50800,504.9877733068023,1
55800,524.483598284469,1
60800,574.5738921863864,1
65800,578.8783593269733,1
70800,633.7756074957126,1
75800,645.9495978585585,1
80800,592.3969421024584,1
85800,594.8071771187742,1
90800,719.0255192197818,1
95800,679.8796512893579,1
100800,748.2200730472964,1
105800,757.0886941856522,1
110800,741.9423313398902,1
115800,684.0146134196891,1
200,8.716120536939588,2
5800,62.73211348555602,2
10900,238.86661677390475,2
15800,281.6872743207015,2
20800,340.85756277505595,2
25800,359.440522459555,2
30800,398.22814493860346,2
35800,432.2011335729224,2
40800,406.08663053347163,2
45800,483.72615923882586,2
50800,486.5290921913206,2
55800,505.62388184580476,2
60800,550.333477771497,2
65800,575.8290907008088,2
70800,586.0743491513939,2
75800,616.1438365997709,2
80800,603.5505903808036,2
85800,588.532204098893,2
90800,597.0444386071002,2
95800,635.211261126288,2
100800,640.680312370369,2
105800,622.185632995285,2
110800,629.3736270633214,2
115800,633.0890580577509,2
