step,reward,seed
400,1.4,0
11800,10.9,0
21800,209.5,0
31800,347.3,0
41600,471.6,0
51600,546.4,0
61600,672.7,0
71600,701.0,0
81600,729.1,0
91600,723.3,0
101600,761.9,0
111600,792.5,0
121600,772.1,0
131600,786.2,0
141800,788.6,0
151800,796.3,0
161600,783.5,0
171800,799.5,0
181600,794.6,0
191600,808.1,0
201600,808.5,0
211600,811.9,0
221600,807.9,0
231600,810.8,0
400,3.7,1
11800,63.1,1
21600,305.5,1
31800,355.2,1
41600,346.4,1
51600,481.5,1
61600,613.9,1
71600,732.1,1
81600,760.6,1
91800,721.6,1
101600,733.4,1
111600,739.1,1
121600,769.4,1
131600,756.4,1
141600,768.5,1
151800,751.3,1
161600,768.0,1
171600,769.8,1
181600,791.5,1
191600,767.2,1
201600,695.0,1
211600,779.0,1
221600,791.0,1
231600,785.7,1
400,5.4,2
11800,1.4,2
21600,68.2,2
31600,366.7,2
41600,580.9,2
51600,602.6,2
61600,647.1,2
71600,658.7,2
81600,664.8,2
91600,665.3,2
101600,668.3,2
111600,678.1,2
121600,698.5,2
131600,688.4,2
141600,701.5,2
151600,715.2,2
161600,715.2,2
171600,727.2,2
181600,717.4,2
191600,685.1,2
201600,702.2,2
211600,735.6,2
221600,721.0,2
231600,713.9,2
