step,reward,seed
200,401.0,0
5800,199.9,0
10800,100.0,0
15800,201.1,0
20800,199.2,0
25800,0.0,0
30800,100.5,0
35800,476.6,0
40800,100.0,0
45800,200.0,0
50800,183.6,0
55800,299.1,0
60800,100.0,0
65800,535.1,0
70800,495.2,0
75800,391.0,0
80800,0.0,0
85800,422.6,0
90800,510.7,0
95800,544.2,0
100800,179.5,0
105800,246.1,0
110800,317.2,0
115800,260.6,0
200,100.0,1
5900,0.8,1
10900,100.0,1
15900,300.0,1
20900,101.6,1
25900,98.6,1
30900,242.0,1
35800,301.7,1
40800,374.1,1
45900,111.4,1
50900,352.8,1
55900,243.3,1
60800,389.5,1
65900,267.5,1
70800,385.8,1
75800,403.7,1
80800,454.1,1
85800,536.1,1
90900,202.2,1
95800,630.0,1
100800,491.5,1
105800,353.1,1
110800,303.4,1
115800,394.1,1
200,0.2,2
5900,0.0,2
10900,105.7,2
15900,200.0,2
20900,300.0,2
25900,5.6,2
30900,384.1,2
35800,251.7,2
40900,96.7,2
45900,300.2,2
50900,401.2,2
55900,473.5,2
60800,575.1,2
65800,273.0,2
70900,559.8,2
75900,146.3,2
80800,200.0,2
85900,296.3,2
90800,673.4,2
95900,284.2,2
100800,454.9,2
105800,483.6,2
110800,387.7,2
115800,334.8,2
200,205.5,3
5900,298.7,3
10900,298.3,3
15900,0.0,3
20900,300.7,3
25900,100.0,3
30900,0.0,3
35900,200.9,3
40800,0.0,3
45800,284.0,3
50900,210.3,3
55900,299.3,3
60900,508.6,3
65900,200.0,3
70900,291.8,3
75800,0.0,3
80900,218.0,3
85900,372.7,3
90800,560.4,3
95800,97.1,3
100800,317.4,3
105800,98.9,3
110800,287.2,3
115800,262.4,3
