step,reward,seed
300,100.0,0
5800,1.0,0
10800,0.0,0
15800,97.4,0
20800,93.5,0
25800,39.3,0
30800,107.3,0
35800,229.6,0
40800,223.7,0
45800,116.5,0
50800,297.6,0
55800,155.3,0
60800,336.1,0
65800,408.2,0
70800,413.2,0
75800,510.6,0
80800,143.7,0
85800,540.6,0
90800,297.3,0
95800,193.3,0
100800,100.9,0
105800,496.3,0
110800,413.1,0
115800,450.8,0
200,102.6,1
5900,0.7,1
10900,100.4,1
15900,0.0,1
20900,200.0,1
25900,100.0,1
30800,0.0,1
35800,1.1,1
40900,33.2,1
45800,1.3,1
50900,0.0,1
55900,120.2,1
60800,111.1,1
65900,219.6,1
70800,155.4,1
75800,211.5,1
80800,395.0,1
85800,207.4,1
90900,243.7,1
95800,328.6,1
100800,168.4,1
105800,122.7,1
110800,315.7,1
115800,205.8,1
200,170.5,2
5800,195.0,2
10800,103.7,2
15800,133.0,2
20800,1.8,2
25800,164.0,2
30700,383.9,2
35800,185.9,2
40800,439.8,2
45800,97.5,2
50800,269.3,2
55700,127.4,2
60800,286.5,2
65800,192.3,2
70700,416.3,2
75700,319.8,2
80700,476.1,2
85700,244.7,2
90800,179.3,2
95800,197.3,2
100700,592.4,2
105700,483.1,2
110700,508.4,2
115700,371.0,2
