step,reward,seed
200,3.1,0
5900,0.0,0
11000,4.4,0
15900,0.0,0
20900,7.5,0
25900,18.5,0
30900,453.4,0
36000,757.0,0
41000,783.8,0
46000,832.2,0
51000,816.6,0
56000,844.1,0
61000,777.7,0
66000,795.2,0
71000,489.7,0
76000,867.7,0
81000,766.6,0
86000,718.8,0
91000,826.2,0
96000,827.7,0
101000,863.4,0
105900,777.0,0
110900,861.3,0
115900,865.6,0
200,0.0,1
5900,0.0,1
10900,2.4,1
15900,18.9,1
21000,210.8,1
25900,714.6,1
30900,824.4,1
35900,841.4,1
40900,856.0,1
45900,803.0,1
50900,846.4,1
55900,776.6,1
60900,880.2,1
65900,667.5,1
70900,817.3,1
75900,829.9,1
80900,869.0,1
85900,825.4,1
90900,780.3,1
95900,839.4,1
100900,858.4,1
105900,769.3,1
111000,817.0,1
115900,877.7,1
200,2.7,2
5800,0.0,2
10900,26.9,2
15800,528.3,2
20800,464.7,2
25900,698.6,2
30800,754.1,2
35800,835.9,2
40800,812.1,2
45800,822.1,2
50800,860.2,2
55800,757.7,2
60800,786.9,2
65800,819.2,2
70800,830.2,2
75800,807.6,2
80800,846.7,2
85800,862.3,2
90800,820.1,2
95800,845.6,2
100800,879.1,2
105800,813.9,2
110800,813.5,2
115800,758.5,2
