step,reward,seed
400,56.68714362537021,0
11600,74.03984063656483,0
21600,195.95074679025996,0
31600,127.0455061301316,0
41600,71.40066787411948,0
51600,182.61901540666113,0
61600,153.23433551337135,0
71400,297.22353605846183,0
81600,332.14530440596815,0
91400,234.12545829352393,0
101600,472.5494773505243,0
111600,410.2009695648668,0
121600,381.8621607346527,0
131400,469.8267897015733,0
141600,477.61858902585675,0
151400,482.7139642216665,0
161400,483.29455580438037,0
171600,464.548343453362,0
181400,500.56233498502223,0
191600,491.106376870416,0
201400,523.2895770539187,0
211400,536.4014918173827,0
221400,525.6614240809565,0
231400,541.6675814210579,0
400,155.41963976708308,1
11600,95.7606574388309,1
21600,83.02409956521882,1
31600,48.432417540058125,1
41600,264.89856763193563,1
51600,356.530522356173,1
61600,371.1287340177324,1
71600,385.42483746624947,1
81600,321.10954280365524,1
91600,270.8897416904719,1
101600,48.17328559318513,1
111600,441.3831720685345,1
121600,455.48360591632274,1
131600,431.37986930820017,1
141600,481.81200339606755,1
151600,485.0473790503229,1
161600,501.55551967276295,1
171600,484.7535895763946,1
181600,499.6430662615815,1
191600,513.2963603587169,1
201400,491.88651720231957,1
211600,494.17180415989526,1
221600,510.77843816613733,1
231600,488.7578912847797,1
400,83.38283182286366,2
11600,61.90087406310391,2
21600,141.0132747380581,2
31600,236.3348624800132,2
41600,245.83875241097,2
51600,209.94807362521095,2
61600,256.4200840996051,2
71600,236.01976702232565,2
81600,278.62157963525505,2
91600,264.2235564203482,2
101600,440.73305075486553,2
111600,413.3035421133844,2
121600,249.90513049834863,2
131600,449.74315366428874,2
141600,430.13855060039816,2
151600,487.988761685616,2
161600,477.85193680081494,2
171600,487.66012713047337,2
181600,476.28937827943366,2
191400,505.5396633775939,2
201600,510.0770619868864,2
211600,497.374250587675,2
221600,493.2655140319359,2
231600,507.6424414403512,2
