step,reward,seed
400,70.6,0
11600,784.2,0
21600,896.8,0
31600,903.9,0
41400,811.7,0
51400,744.2,0
61400,841.9,0
71400,939.0,0
81400,925.2,0
91400,902.6,0
101400,887.9,0
111400,854.4,0
121400,850.4,0
131400,933.7,0
141400,889.0,0
151600,683.4,0
161400,916.9,0
171400,970.8,0
181400,903.8,0
191400,863.5,0
201400,931.4,0
211400,904.9,0
221400,904.8,0
231400,887.7,0
400,95.0,1
11600,335.0,1
21600,107.5,1
31600,257.3,1
41600,324.9,1
51600,574.1,1
61600,608.2,1
71400,739.5,1
81600,556.3,1
91600,831.3,1
101600,873.7,1
111400,649.2,1
121600,751.8,1
131600,959.3,1
141600,659.6,1
151400,850.5,1
161400,917.1,1
171600,902.4,1
181400,806.2,1
191600,927.1,1
201400,904.0,1
211400,859.3,1
221400,907.2,1
231400,860.1,1
400,72.1,2
11400,206.8,2
21600,198.5,2
31600,460.4,2
41400,552.5,2
51400,583.3,2
61600,802.1,2
71600,802.4,2
81400,717.7,2
91400,943.9,2
101400,886.8,2
111400,760.9,2
121400,795.7,2
131400,878.9,2
141400,806.2,2
151400,823.6,2
161400,832.3,2
171600,787.0,2
181400,853.2,2
191400,911.5,2
201400,872.1,2
211400,820.6,2
221400,837.5,2
231400,925.6,2
