step,reward,seed
400,6.8,0
11600,30.2,0
21600,466.8,0
31600,364.6,0
41600,584.0,0
51600,424.2,0
61600,595.7,0
71600,542.8,0
81600,696.1,0
91600,666.5,0
101600,687.3,0
111600,758.8,0
121600,628.9,0
131600,512.6,0
141600,626.6,0
151600,679.3,0
161600,824.4,0
171600,828.4,0
181600,743.6,0
191600,666.4,0
201600,691.2,0
211400,744.0,0
221600,845.0,0
231400,863.6,0
400,6.8,1
11600,1.8,1
21600,314.7,1
31600,449.8,1
41600,406.6,1
51600,730.8,1
61600,763.8,1
71600,633.4,1
81600,643.6,1
91600,535.3,1
101600,608.7,1
111600,837.2,1
121600,806.3,1
131600,836.4,1
141600,920.3,1
151400,749.7,1
161600,903.4,1
171600,693.0,1
181400,807.1,1
191600,852.9,1
201400,899.0,1
211400,696.8,1
221600,842.2,1
231400,791.0,1
400,6.1,2
11400,181.5,2
21600,159.8,2
31400,460.3,2
41600,546.0,2
51400,560.0,2
61400,693.5,2
71400,645.1,2
81400,781.9,2
91400,744.1,2
101400,811.9,2
111400,850.0,2
121400,905.4,2
131400,730.8,2
141400,809.4,2
151400,793.4,2
161400,782.4,2
171400,747.0,2
181600,854.8,2
191400,906.3,2
201400,951.0,2
211400,891.0,2
221400,783.2,2
231400,909.7,2
