step,reward,seed
400,26.736601370463525,0
11800,126.47512607624208,0
21800,157.6350214485248,0
31800,183.02133951917142,0
41800,225.4573370637052,0
51800,305.87358656121904,0
61800,344.2172250649895,0
71800,354.45724827945276,0
81800,423.06948870693657,0
91800,483.3975295392702,0
101800,506.1660647067016,0
111800,541.1283820163121,0
121800,553.2138575738056,0
131800,583.0327021085483,0
141800,589.9603193331652,0
151800,625.6718644560203,0
161800,640.3648261358683,0
171800,633.8838751518563,0
181800,672.0527978514281,0
191800,663.62868362113,0
201800,684.7481362388452,0
211600,682.5215147418926,0
221600,690.8685262556406,0
231600,698.1218678959051,0
400,30.114367853271894,1
11800,58.79724538525336,1
21800,107.71302178961223,1
31800,111.41690623757809,1
41800,200.4669662882432,1
51800,240.19774312059184,1
61800,317.5099122223045,1
71600,384.6325400818563,1
81600,399.1717709844223,1
91600,486.20131326913815,1
101800,419.4460148612411,1
111800,449.4244902971931,1
121600,517.6519480197232,1
131800,537.228484064783,1
141800,586.4732577951298,1
151800,564.5149599805657,1
161800,587.780844160305,1
171800,548.2326248543797,1
181800,583.8953986435274,1
191800,564.1424650871045,1
201600,602.1307273658988,1
211800,598.5568464692099,1
221600,592.2676142750519,1
231600,588.0429893370326,1
400,30.410944700330013,2
11600,48.88293501331489,2
21600,59.17828235361715,2
31600,88.10033531151664,2
41600,135.25812640216796,2
51600,217.85343597285367,2
61800,222.56353177949936,2
71800,228.8919878691341,2
81600,278.60437618674047,2
91600,367.24088517523916,2
101600,451.09303828845486,2
111600,461.17965410762224,2
121600,531.3759004376004,2
131600,549.0161521410743,2
141800,566.9642664804878,2
151600,604.7615193488217,2
161600,645.6146317769955,2
171600,629.8355651698577,2
181600,664.4057481817888,2
191600,685.7575641311616,2
201600,691.2960826355794,2
211600,695.7424940710972,2
221600,683.8617460888623,2
231600,684.7426141953159,2
