step,reward,seed
400,137.55990797604883,0
11800,445.5215550997991,0
21800,557.0522681142814,0
31800,745.8921061214064,0
41800,824.6802287842272,0
51800,812.150785522728,0
61800,891.4794662287552,0
71800,921.5988890854835,0
81800,905.1768961193329,0
91800,928.444033045023,0
101800,927.4408224055499,0
111800,931.2733116251986,0
121800,920.572540855662,0
131800,915.4568527552561,0
141800,930.8715749113896,0
151800,945.6506675505294,0
161800,975.8830282945779,0
171800,977.0496256893888,0
181800,969.6451082287929,0
191800,980.3941788425698,0
201800,983.5218082689265,0
211800,983.8150013102446,0
221600,970.1962626283675,0
231800,975.6570168851631,0
400,149.47718265553846,1
12000,289.42421756256965,1
21800,362.1381536764978,1
32000,318.07016209280744,1
42000,552.0801432219662,1
52000,687.9073873446682,1
61800,754.7731484501135,1
71800,882.5687785389231,1
82000,880.4232003834119,1
91800,929.0749447955501,1
101800,939.4691158179132,1
111800,957.4617356613265,1
121800,960.3340751957894,1
131800,981.4654519114601,1
141800,978.3343403021278,1
151800,970.0603901454026,1
161800,973.8925590513265,1
171800,953.1339061835017,1
181800,954.0804430067188,1
191800,949.0403416753325,1
201800,985.7651398203601,1
211800,985.2344216162031,1
221800,983.8199203126842,1
231800,982.6462950157704,1
400,158.0976803516431,2
11600,304.2999478341672,2
21600,356.6596058209582,2
31600,475.5679551939984,2
41600,845.4599040636582,2
51600,974.4794148267276,2
61600,946.9030530035343,2
71600,925.1282609713708,2
81600,948.0283118212565,2
91600,951.0742668585877,2
101600,949.9636877441187,2
111600,930.6841482716633,2
121600,931.7785137208168,2
131600,940.6301001145163,2
141600,964.4264554751177,2
151600,968.9311881150985,2
161600,968.548683325799,2
171600,977.5749992514056,2
181600,978.986184641882,2
191600,978.6892364404432,2
201600,980.0891373839279,2
211600,990.0969151180838,2
221600,982.6182434664677,2
231600,985.3724014269494,2
