step,reward,seed
400,49.42548600084642,0
11800,113.85121299266795,0
21800,221.82307062030912,0
31600,347.6907445112541,0
41600,427.7420228958046,0
51600,578.3923871590152,0
61600,715.1094601245177,0
71600,777.3395424262503,0
81600,800.0506042279659,0
91600,906.1843123904048,0
101600,912.0776017971071,0
111600,866.8973352678113,0
121600,914.027750394033,0
131600,923.3175565411454,0
141600,909.0600466991813,0
151600,943.7988197632119,0
161600,951.8550876546913,0
171600,957.590368156308,0
181600,972.6139940946375,0
191600,967.7951337566722,0
201600,965.0841789531572,0
211600,964.2562484466056,0
221600,962.3448812165054,0
231600,970.0465085777463,0
400,53.9291526189837,1
11600,265.12309648724846,1
21600,426.9094054546807,1
31600,562.1898716850652,1
41600,684.1330404930231,1
51600,756.3315225725273,1
61600,771.9819509926567,1
71600,810.0858550595246,1
81600,741.2916188679241,1
91600,914.4016472795629,1
101600,918.7107245254465,1
111600,926.0078161514286,1
121600,923.9530953294673,1
131600,946.6840592575134,1
141600,949.6253764777948,1
151600,961.1734046464426,1
161600,955.6728872873557,1
171600,954.9097670152948,1
181600,973.893826137973,1
191600,979.1529323490593,1
201600,963.1162229076901,1
211600,973.1576264281409,1
221600,969.2410554153937,1
231600,971.183247548327,1
600,54.75316673294792,2
11800,182.32241362457827,2
21600,284.9536903354864,2
31600,420.4852175139396,2
41600,559.7611244914748,2
51600,521.9777939435342,2
61800,704.9663527440498,2
71600,737.3445864551625,2
81600,825.6330069047578,2
91600,896.8143161424344,2
101600,903.4503326192083,2
111600,867.3254708175479,2
121600,867.5390260813161,2
131600,878.4684372167861,2
141600,892.8911862249181,2
151600,874.6760670487749,2
161600,879.3348221841645,2
171600,900.5863269015215,2
181600,922.0358312661425,2
191600,948.5696634327603,2
201600,958.6712775915973,2
211600,961.9346546763081,2
221600,964.2764240985823,2
231600,926.492018460327,2
