step,reward,seed
400,28.47689734117414,0
11800,80.03958924708074,0
21800,100.98041092729764,0
31600,205.94339328551968,0
41800,220.25299725855763,0
51800,258.9880248995127,0
61600,297.9696115832726,0
71800,320.69340684923236,0
81800,335.87973485343196,0
91600,359.3368343630611,0
101600,398.1692641381065,0
111600,402.009617883774,0
121600,416.30293405298744,0
131600,439.52421709629334,0
141600,448.4444147402869,0
151600,477.7964461222664,0
161800,492.52021763380105,0
171600,571.6547535283308,0
181600,596.0442906877395,0
191600,657.8047050756039,0
201600,616.2283286220394,0
211600,611.6976933864521,0
221600,586.8739209524913,0
231600,595.4034791615508,0
400,28.38365536882251,1
11800,95.10277277538204,1
21800,114.48083446496655,1
31600,168.32842423506392,1
41800,181.18945735434883,1
51600,220.19501016028033,1
61600,248.86267680408096,1
71800,279.34494177601806,1
81800,311.2118284239617,1
91600,386.2775192712006,1
101600,353.63181341717495,1
111600,424.60191124398824,1
121800,413.20345766217736,1
131800,439.94486238297486,1
141800,486.1872476421173,1
151600,518.2000214226907,1
161600,522.046652556515,1
171800,577.3592493336461,1
181600,592.4066883775724,1
191600,602.0086599955757,1
201600,595.5302461574969,1
211600,588.8478105222524,1
221600,583.8712962062143,1
231600,591.7975202005681,1
400,27.957590035919452,2
11800,95.19710094142818,2
21800,140.31931868090322,2
31800,191.21831054458974,2
41800,237.8914689192408,2
51800,233.57748744130126,2
61800,286.13271377276175,2
71600,330.7641044676566,2
81600,349.6061001213975,2
91600,470.0271292518447,2
101800,451.5889288107883,2
111600,421.9644892112498,2
121800,455.7337733689225,2
131600,466.43405791013436,2
141600,467.34041482238183,2
151600,511.05210099254265,2
161600,502.2003206850688,2
171600,516.5256698828114,2
181800,529.7540985553494,2
191800,537.7447745920603,2
201600,570.5114947246146,2
211600,554.8378914894455,2
221600,558.3684580246999,2
231600,574.4966624048864,2
400,28.73700485155415,3
11800,102.63528545334725,3
21800,135.18770356416647,3
31800,170.45338938429344,3
41800,204.38470386852083,3
51800,244.95742435547155,3
61800,271.35088427709263,3
71800,296.5618116927071,3
81800,311.48417062764054,3
91600,419.7427018465728,3
101800,423.8793817743534,3
111800,470.20617272275024,3
121800,485.1783092218333,3
131800,529.6513927267773,3
141600,558.8418847635461,3
151800,552.157207995559,3
161600,549.4561240910241,3
171600,554.5046856273143,3
181800,581.9240436334751,3
191600,567.7024212380231,3
201600,578.6233865479318,3
211600,553.8054501137739,3
221600,565.0312597926695,3
231600,554.4266076411689,3
400,30.83881461751925,4
11800,81.28376364375059,4
21600,118.17127674646227,4
31800,146.4233657591218,4
41800,194.10528307298983,4
51600,213.31784578982993,4
61600,256.04199461360355,4
71600,323.606908087579,4
81800,370.9995743647436,4
91600,399.73184856323394,4
101600,446.6832579410164,4
111600,436.6499982122229,4
121600,485.7393426020608,4
131600,517.9291221149722,4
141600,509.9703291347263,4
151800,542.6750924059659,4
161600,508.1226284557066,4
171600,467.2625787839341,4
181600,456.96222768196264,4
191800,526.0685241384824,4
201600,523.0724234597354,4
211600,540.5442541072574,4
221800,522.236168454558,4
231800,561.7936830692214,4
600,27.939280356330006,5
11800,70.95685460478587,5
21800,132.78078959311523,5
31800,167.92792438845188,5
41800,186.07092631134896,5
51800,221.38716020822667,5
61800,204.50928328504037,5
71800,270.47874964428564,5
81600,306.641604332147,5
91800,387.97032903673147,5
101800,401.0828598292644,5
111800,446.59068482774256,5
121600,497.24595239781695,5
131800,447.5545787594957,5
141600,478.33072388053716,5
151800,491.8030769274258,5
161600,505.3135749123092,5
171800,485.0028506630141,5
181600,519.4702772370141,5
191600,489.7043523088445,5
201600,525.7085625607268,5
211600,536.29326870593,5
221600,491.38896684790626,5
231600,511.0252943866761,5
400,29.10082752637779,6
12000,77.62825932266203,6
21800,143.4768721998693,6
31800,178.67453077774036,6
41800,210.9413020256793,6
51800,217.24242856935226,6
61600,250.98214254735936,6
71600,281.9172544325158,6
81800,326.1392064562582,6
91600,417.1400836175656,6
101800,434.74681018735816,6
111800,480.9855879991057,6
121800,490.83322265118613,6
131600,461.93942353870244,6
141600,487.2733562291549,6
151800,506.23404158950746,6
161800,486.5939337643484,6
171600,498.79142668916694,6
181600,491.9654859931312,6
191600,495.86920647687896,6
201600,523.175171342854,6
211600,505.1659499408326,6
221600,518.9326531365823,6
231600,489.59803621665543,6
