step,reward,seed
0,11.039727483677932,0
100000,169.04717125205653,0
200000,180.944332827054,0
300000,256.92729872342824,0
400000,327.39257740771427,0
500000,288.788626327363,0
600000,345.2669719623207,0
700000,443.8445231633594,0
800000,516.8040053798879,0
900000,365.5458524830904,0
1000000,494.2356047320409,0
0,0.313535318256123,1000
100000,73.66148515981081,1000
200000,204.4417505918437,1000
300000,368.9875325981658,1000
400000,202.40585338549096,1000
500000,396.29712725353465,1000
600000,587.0158678704602,1000
700000,453.61427468838383,1000
800000,554.3315887308393,1000
900000,403.6739056723793,1000
1000000,400.5508103700139,1000
0,5.624954090818777,2000
100000,98.48110209668096,2000
200000,203.40847488559103,2000
300000,272.6281817632946,2000
400000,308.9922456395884,2000
500000,257.5308130484959,2000
600000,494.24332944573473,2000
700000,535.6330941714667,2000
800000,487.7900261826522,2000
900000,433.2877275310317,2000
1000000,483.51214859338336,2000
0,5.158565918163273,3000
100000,145.8901910295724,3000
200000,124.7243176862302,3000
300000,338.58481116121555,3000
400000,345.9738558043246,3000
500000,362.7749706465444,3000
600000,339.28313010694853,3000
700000,433.4164297167832,3000
800000,449.657875098001,3000
900000,461.09277315511406,3000
1000000,495.76238744019946,3000
0,0.2419938929411279,4000
100000,26.4350101238774,4000
200000,249.1280381091156,4000
300000,486.5740910958245,4000
400000,277.97803219607533,4000
500000,440.148442020141,4000
600000,355.02208072410906,4000
700000,385.1322910807162,4000
800000,409.505795577572,4000
900000,413.0952903920972,4000
1000000,515.0390143581845,4000
