step,reward,seed
0,952.8603778307,0
50000,3689.0825436138425,0
100000,4403.615450282281,0
150000,2980.567435734527,0
200000,6273.437165059504,0
250000,5843.124260643285,0
300000,6464.193386217368,0
350000,5269.344619618716,0
400000,6717.10083488081,0
450000,6335.546333974806,0
500000,6964.14473555546,0
550000,6989.186784073329,0
600000,7067.08675760989,0
650000,6718.9931489650135,0
700000,7151.758204745328,0
750000,7178.446489723227,0
800000,7226.9904278868835,0
850000,7253.239835477832,0
900000,6614.030463666245,0
950000,7318.452382002683,0
1000000,7058.664342740225,0
0,975.7689070058224,1000
50000,1321.8285835906445,1000
100000,1211.6004520235156,1000
150000,3150.843150419586,1000
200000,5460.066817287734,1000
250000,5920.62574453369,1000
300000,5364.616766284903,1000
350000,5697.497166218424,1000
400000,6025.408454761452,1000
450000,5914.679535063974,1000
500000,5690.2748355972,1000
550000,5876.542439273128,1000
600000,6532.4718927222175,1000
650000,7218.112162395128,1000
700000,6211.002789948203,1000
750000,6557.596023200301,1000
800000,5875.895221557092,1000
850000,6650.877383996468,1000
900000,7378.7866584262865,1000
950000,6794.696211379005,1000
1000000,7502.834573925216,1000
0,962.4913599564148,2000
50000,1703.541572311026,2000
100000,4409.203215112005,2000
150000,3425.207804873332,2000
200000,5967.976330417739,2000
250000,6459.058744468506,2000
300000,6535.761168976498,2000
350000,6482.033516660419,2000
400000,6697.336913089175,2000
450000,6762.973867644524,2000
500000,6742.546939608159,2000
550000,6883.877641532835,2000
600000,6312.9999014379055,2000
650000,7027.123580445499,2000
700000,7036.4490058870215,2000
750000,7082.650454366005,2000
800000,6091.960153618786,2000
850000,7188.278782921106,2000
900000,7235.809926800149,2000
950000,6577.3051644308,2000
1000000,6595.713020736439,2000
0,979.398719812017,3000
50000,650.8059578944938,3000
100000,4723.632263817746,3000
150000,5073.486108681134,3000
200000,5775.055290207214,3000
250000,5286.628576548402,3000
300000,5321.382773570716,3000
350000,5916.027728825035,3000
400000,6150.264973902146,3000
450000,6568.052108591434,3000
500000,6208.446465060987,3000
550000,6452.98871492749,3000
600000,6846.459375229984,3000
650000,5555.80726094316,3000
700000,6932.438110588099,3000
750000,7103.003725823117,3000
800000,7161.984888211162,3000
850000,7220.285371791001,3000
900000,6198.872203934731,3000
950000,7381.485191569942,3000
1000000,7422.799291296702,3000
0,972.6876113965548,4000
50000,1621.350997590015,4000
100000,4962.05714603131,4000
150000,5429.597367505058,4000
200000,5803.2601858953,4000
250000,5871.6245763221705,4000
300000,6273.853541212151,4000
350000,4061.256952998858,4000
400000,6554.628766088233,4000
450000,6170.101816187043,4000
500000,6108.739845556105,4000
550000,6184.402186455695,4000
600000,5974.32332204309,4000
650000,6008.489180260519,4000
700000,5426.661546714376,4000
750000,6709.760006526305,4000
800000,6427.101004077581,4000
850000,6286.30253696229,4000
900000,7127.873372556118,4000
950000,6843.2586951406,4000
1000000,6123.820260453166,4000
