step,reward,seed
0,198.4,0
100000,970.2,0
200000,985.0,0
300000,981.0,0
400000,982.5,0
500000,986.2,0
600000,977.8,0
700000,988.0,0
800000,980.5,0
900000,981.9,0
1000000,982.2,0
0,0.0,1000
100000,982.2,1000
200000,984.3,1000
300000,977.4,1000
400000,981.2,1000
500000,977.7,1000
600000,978.0,1000
700000,983.3,1000
800000,977.3,1000
900000,988.5,1000
1000000,984.2,1000
0,99.9,2000
100000,985.1,2000
200000,987.8,2000
300000,984.8,2000
400000,981.5,2000
500000,981.8,2000
600000,983.8,2000
700000,983.4,2000
800000,979.8,2000
900000,979.3,2000
1000000,979.5,2000
0,299.6,3000
100000,979.1,3000
200000,982.5,3000
300000,987.4,3000
400000,985.5,3000
500000,982.0,3000
600000,973.4,3000
700000,979.7,3000
800000,993.2,3000
900000,982.0,3000
1000000,987.9,3000
0,0.0,4000
100000,979.1,4000
200000,978.8,4000
300000,980.7,4000
400000,988.6,4000
500000,981.2,4000
600000,983.0,4000
700000,984.0,4000
800000,976.3,4000
900000,974.2,4000
1000000,978.6,4000
