step,reward,seed
0,44.4,0
100000,1000.0,0
200000,1000.0,0
300000,1000.0,0
400000,1000.0,0
500000,1000.0,0
600000,1000.0,0
700000,1000.0,0
800000,1000.0,0
900000,1000.0,0
1000000,1000.0,0
0,41.7,1000
100000,157.3,1000
200000,1000.0,1000
300000,1000.0,1000
400000,1000.0,1000
500000,1000.0,1000
600000,1000.0,1000
700000,1000.0,1000
800000,1000.0,1000
900000,1000.0,1000
1000000,1000.0,1000
0,67.7,2000
100000,1000.0,2000
200000,1000.0,2000
300000,1000.0,2000
400000,1000.0,2000
500000,1000.0,2000
600000,1000.0,2000
700000,1000.0,2000
800000,1000.0,2000
900000,1000.0,2000
1000000,1000.0,2000
0,25.6,3000
100000,1000.0,3000
200000,1000.0,3000
300000,1000.0,3000
400000,1000.0,3000
500000,1000.0,3000
600000,1000.0,3000
700000,1000.0,3000
800000,1000.0,3000
900000,1000.0,3000
1000000,1000.0,3000
0,77.7,4000
100000,324.7,4000
200000,1000.0,4000
300000,1000.0,4000
400000,1000.0,4000
500000,1000.0,4000
600000,1000.0,4000
700000,1000.0,4000
800000,1000.0,4000
900000,1000.0,4000
1000000,1000.0,4000
