step,reward,seed
0,346.6344923444646,0
100000,999.8568121880262,0
200000,999.7932424844482,0
300000,999.6995937744636,0
400000,999.6834307880308,0
500000,999.7752088554356,0
600000,999.7933372713816,0
700000,999.7501982380154,0
800000,999.717789848984,0
900000,999.753407503704,0
1000000,999.8814142124742,0
0,340.5668770604024,1000
100000,999.8775060650836,1000
200000,999.7147627891678,1000
300000,999.828781901862,1000
400000,999.8538307863132,1000
500000,999.7935895558518,1000
600000,999.8719253554218,1000
700000,999.868530359158,1000
800000,999.8611324160617,1000
900000,999.8412133635428,1000
1000000,999.758147649818,1000
0,411.4355847705973,2000
100000,999.7900342527092,2000
200000,999.6570407811436,2000
300000,999.550980262518,2000
400000,999.8401768762182,2000
500000,999.3380144465636,2000
600000,999.8593123872236,2000
700000,999.8609122465332,2000
800000,999.7618703866044,2000
900000,999.88919161886,2000
1000000,999.8127277450984,2000
0,342.52362107369146,3000
100000,999.7844981963804,3000
200000,999.8534598977154,3000
300000,999.7926453689018,3000
400000,999.820641265395,3000
500000,999.799455494867,3000
600000,999.7491142707792,3000
700000,999.8166974025652,3000
800000,999.8318880083864,3000
900000,999.8194081548344,3000
1000000,999.8392195330612,3000
0,398.0748943701856,4000
100000,999.7771445148592,4000
200000,999.6353130830194,4000
300000,999.641427224897,4000
400000,999.8406410790188,4000
500000,999.794475354996,4000
600000,999.7255168405125,4000
700000,999.7131308000636,4000
800000,999.8241133496706,4000
900000,999.8131042872186,4000
1000000,999.726025156246,4000
