step,reward,seed
0,0.0,0
100000,774.0,0
200000,839.9,0
300000,842.2,0
400000,848.7,0
500000,847.5,0
600000,846.1,0
700000,847.8,0
800000,848.4,0
900000,850.6,0
1000000,806.8,0
0,0.0,1000
100000,792.8,1000
200000,640.5,1000
300000,821.7,1000
400000,723.8,1000
500000,846.6,1000
600000,848.2,1000
700000,851.0,1000
800000,849.3,1000
900000,850.5,1000
1000000,850.9,1000
0,0.0,2000
100000,144.8,2000
200000,843.9,2000
300000,826.0,2000
400000,793.2,2000
500000,846.9,2000
600000,783.6,2000
700000,179.4,2000
800000,849.2,2000
900000,850.3,2000
1000000,850.1,2000
0,0.0,3000
100000,796.8,3000
200000,761.9,3000
300000,844.1,3000
400000,848.1,3000
500000,843.1,3000
600000,847.4,3000
700000,849.0,3000
800000,184.9,3000
900000,840.0,3000
1000000,849.3,3000
0,0.0,4000
100000,279.9,4000
200000,810.3,4000
300000,841.0,4000
400000,845.1,4000
500000,845.1,4000
600000,846.3,4000
700000,842.2,4000
800000,847.8,4000
900000,848.8,4000
1000000,849.0,4000
