step,reward,seed
0,2.5663691944830065,0
100000,455.15154285199424,0
200000,287.7579157458514,0
300000,713.9658672455259,0
400000,866.36478617544,0
500000,864.3067188655535,0
600000,909.8586655002618,0
700000,907.8077945871722,0
800000,912.0986634474764,0
900000,915.5669092426724,0
1000000,916.2268784195328,0
0,0.1998777297762592,1000
100000,586.6494416917769,1000
200000,894.9620066177782,1000
300000,847.0375561090059,1000
400000,912.1547038583392,1000
500000,893.7956341522926,1000
600000,886.4223486754514,1000
700000,908.8574999592938,1000
800000,917.030243767758,1000
900000,917.3337796867048,1000
1000000,920.3227037250416,1000
0,0.2454483674219147,2000
100000,672.5823504379606,2000
200000,738.6105257754023,2000
300000,861.4906276775052,2000
400000,905.9151229579538,2000
500000,827.2183400360042,2000
600000,909.1306394278142,2000
700000,913.0205961009462,2000
800000,922.0248470116774,2000
900000,921.4901985046132,2000
1000000,919.8262259806012,2000
0,2.46895875859231,3000
100000,650.155302982713,3000
200000,474.1502212112191,3000
300000,793.137674601041,3000
400000,849.0127765041638,3000
500000,905.3794945812558,3000
600000,908.6482120135012,3000
700000,876.453220535595,3000
800000,910.627548664445,3000
900000,915.7070314356235,3000
1000000,908.3874185938917,3000
0,0.2699094703425851,4000
100000,643.0483194249397,4000
200000,722.3248714800002,4000
300000,854.4137997595062,4000
400000,723.656126300687,4000
500000,885.6927890921155,4000
600000,861.198863257305,4000
700000,868.6791575978237,4000
800000,910.6861579741856,4000
900000,916.0216579011892,4000
1000000,918.438605037348,4000
