step,reward,seed
0,0.0,0
100000,563.5,0
200000,646.7,0
300000,646.5,0
400000,654.6,0
500000,655.2,0
600000,651.4,0
700000,651.2,0
800000,651.3,0
900000,651.3,0
1000000,975.5,0
0,0.0,1000
100000,973.2,1000
200000,975.7,1000
300000,981.5,1000
400000,981.9,1000
500000,981.4,1000
600000,980.0,1000
700000,978.7,1000
800000,982.3,1000
900000,981.4,1000
1000000,986.4,1000
0,0.0,2000
100000,819.3,2000
200000,850.4,2000
300000,908.0,2000
400000,908.4,2000
500000,946.4,2000
600000,945.2,2000
700000,945.6,2000
800000,946.9,2000
900000,949.0,2000
1000000,950.0,2000
0,0.0,3000
100000,778.5,3000
200000,825.3,3000
300000,833.0,3000
400000,879.5,3000
500000,971.7,3000
600000,981.2,3000
700000,977.1,3000
800000,974.0,3000
900000,975.4,3000
1000000,974.7,3000
0,0.0,4000
100000,589.9,4000
200000,645.0,4000
300000,662.0,4000
400000,697.1,4000
500000,670.1,4000
600000,665.5,4000
700000,667.2,4000
800000,679.0,4000
900000,675.4,4000
1000000,667.2,4000
