step,reward,seed
0,227.7,0
100000,568.2,0
200000,875.2,0
300000,884.4,0
400000,983.5,0
500000,986.0,0
600000,988.7,0
700000,978.6,0
800000,984.3,0
900000,974.2,0
1000000,980.5,0
0,200.0,1000
100000,492.4,1000
200000,587.9,1000
300000,982.7,1000
400000,882.8,1000
500000,983.3,1000
600000,983.9,1000
700000,983.6,1000
800000,986.3,1000
900000,971.0,1000
1000000,976.5,1000
0,198.6,2000
100000,875.0,2000
200000,869.7,2000
300000,969.8,2000
400000,983.0,2000
500000,952.6,2000
600000,968.8,2000
700000,973.8,2000
800000,691.7,2000
900000,981.4,2000
1000000,775.7,2000
0,100.0,3000
100000,689.7,3000
200000,836.3,3000
300000,974.4,3000
400000,983.9,3000
500000,971.5,3000
600000,967.8,3000
700000,923.0,3000
800000,974.7,3000
900000,964.1,3000
1000000,974.6,3000
0,100.0,4000
100000,682.8,4000
200000,986.0,4000
300000,781.9,4000
400000,970.6,4000
500000,969.8,4000
600000,975.7,4000
700000,966.5,4000
800000,973.7,4000
900000,989.5,4000
1000000,974.1,4000
