step,reward,seed
0,88.4,0
100000,554.5,0
200000,665.6,0
300000,975.4,0
400000,973.2,0
500000,889.1,0
600000,982.7,0
700000,973.5,0
800000,977.1,0
900000,966.3,0
1000000,968.1,0
0,200.0,1000
100000,202.3,1000
200000,846.9,1000
300000,791.9,1000
400000,769.8,1000
500000,968.3,1000
600000,972.2,1000
700000,979.1,1000
800000,962.8,1000
900000,977.5,1000
1000000,976.2,1000
0,92.8,2000
100000,652.2,2000
200000,772.0,2000
300000,870.2,2000
400000,963.1,2000
500000,878.6,2000
600000,872.2,2000
700000,975.8,2000
800000,883.9,2000
900000,977.0,2000
1000000,869.9,2000
0,0.0,3000
100000,679.8,3000
200000,963.1,3000
300000,969.5,3000
400000,883.7,3000
500000,869.5,3000
600000,865.0,3000
700000,968.0,3000
800000,859.9,3000
900000,969.6,3000
1000000,967.8,3000
0,0.0,4000
100000,577.4,4000
200000,776.0,4000
300000,872.2,4000
400000,871.3,4000
500000,973.4,4000
600000,969.3,4000
700000,965.4,4000
800000,871.2,4000
900000,981.7,4000
1000000,970.8,4000
