step,reward,seed
0,87.25744096475441,0
100000,579.0640880815515,0
200000,833.5304361298435,0
300000,436.3933201781296,0
400000,662.939581318339,0
500000,659.9417971772143,0
600000,817.0290542732184,0
700000,769.3514242688827,0
800000,738.6516883464849,0
900000,803.553339718593,0
1000000,815.363435660484,0
0,61.61018471604331,1000
100000,553.0618281331346,1000
200000,409.0215680257262,1000
300000,777.5849282849094,1000
400000,721.2444965915041,1000
500000,689.6068235595033,1000
600000,831.7891133929561,1000
700000,835.127849049639,1000
800000,774.2647629375043,1000
900000,792.1607975631714,1000
1000000,825.0680716066912,1000
0,72.14712698908185,2000
100000,591.9401802303835,2000
200000,628.0398760765155,2000
300000,702.3260227301378,2000
400000,676.988472554603,2000
500000,709.2479211229646,2000
600000,872.6858538270988,2000
700000,834.4803540419246,2000
800000,848.5566343490458,2000
900000,822.858576862709,2000
1000000,836.6247364634064,2000
0,48.83591613703803,3000
100000,502.1699213538608,3000
200000,647.2239206028534,3000
300000,508.8902100416981,3000
400000,719.702271000666,3000
500000,715.7864609870251,3000
600000,700.0693991007381,3000
700000,729.9245407506872,3000
800000,767.092719975446,3000
900000,828.6263376427125,3000
1000000,750.6843674916147,3000
0,68.86178675836348,4000
100000,342.47229054332405,4000
200000,568.2730050178374,4000
300000,768.7856013369832,4000
400000,838.8439885136247,4000
500000,744.0933690226695,4000
600000,701.786701243118,4000
700000,813.667604213357,4000
800000,847.4322209354095,4000
900000,747.973243842551,4000
1000000,810.8348849212807,4000
