step,reward,seed
0,25.50498349051332,0
100000,45.55143997736215,0
200000,394.3916914609784,0
300000,847.9066384494239,0
400000,975.3560679207367,0
500000,685.5586588140242,0
600000,796.3368379491548,0
700000,780.7922422707113,0
800000,759.3436829056633,0
900000,713.815011804447,0
1000000,779.604449152709,0
0,21.705263429150605,1000
0,21.705263429150605,1000
100000,49.69192245729265,1000
100000,49.69192245729265,1000
200000,148.04120774294415,1000
200000,148.04120774294415,1000
300000,799.4620594969981,1000
300000,799.4620594969981,1000
400000,827.5646551754693,1000
400000,827.5646551754693,1000
500000,835.606117674165,1000
500000,835.606117674165,1000
600000,847.4251995300243,1000
600000,847.4251995300243,1000
700000,647.3755992520778,1000
700000,647.3755992520778,1000
800000,858.8523746541653,1000
800000,858.8523746541653,1000
900000,788.6725437152319,1000
900000,788.6725437152319,1000
1000000,879.4783433969997,1000
1000000,879.4783433969997,1000
0,28.62003930613871,2000
0,28.62003930613871,2000
100000,42.77911645922688,2000
100000,42.77911645922688,2000
200000,651.1868134057543,2000
200000,651.1868134057543,2000
300000,849.9574494090442,2000
300000,849.9574494090442,2000
400000,841.7725362307962,2000
400000,841.7725362307962,2000
500000,852.2030897278786,2000
500000,852.2030897278786,2000
600000,855.1037900250736,2000
600000,855.1037900250736,2000
700000,860.8739096060128,2000
700000,860.8739096060128,2000
800000,867.1822067314945,2000
800000,867.1822067314945,2000
900000,528.5567223606898,2000
900000,528.5567223606898,2000
1000000,883.8087501654425,2000
1000000,883.8087501654425,2000
0,24.005660890702657,3000
0,24.005660890702657,3000
100000,67.36194115060059,3000
100000,67.36194115060059,3000
200000,652.019433244833,3000
200000,652.019433244833,3000
300000,843.223498872913,3000
300000,843.223498872913,3000
400000,840.4956456238024,3000
400000,840.4956456238024,3000
500000,773.7478313938974,3000
500000,773.7478313938974,3000
600000,846.9936060876022,3000
600000,846.9936060876022,3000
700000,650.6822484536954,3000
700000,650.6822484536954,3000
800000,704.766664591768,3000
800000,704.766664591768,3000
900000,845.3347768262549,3000
900000,845.3347768262549,3000
1000000,883.9050736020521,3000
1000000,883.9050736020521,3000
0,31.043260015637127,4000
0,31.043260015637127,4000
100000,30.229514211146096,4000
100000,30.229514211146096,4000
200000,374.132947660902,4000
200000,374.132947660902,4000
300000,831.3852477081952,4000
300000,831.3852477081952,4000
400000,838.5051701858313,4000
400000,838.5051701858313,4000
500000,271.9026740270413,4000
500000,271.9026740270413,4000
600000,579.332472926799,4000
600000,579.332472926799,4000
700000,757.2987826429352,4000
700000,757.2987826429352,4000
800000,826.411327219925,4000
800000,826.411327219925,4000
900000,871.1056231619189,4000
900000,871.1056231619189,4000
1000000,813.0306486978714,4000
1000000,813.0306486978714,4000
